Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Stephen Curry,27,GSW,PG,79,79,34.2,10.2,20.2,0.504,5.1,11.2,0.454,5.1,9,0.566,0.63,4.6,5.1,0.908,0.9,4.6,5.4,6.7,2.1,0.2,3.3,2,30.1,MVP-1ASNBA1,curryst01
2,James Harden,26,HOU,SG,82,82,38.1,8.7,19.7,0.439,2.9,8,0.359,5.8,11.7,0.494,0.512,8.8,10.2,0.86,0.8,5.3,6.1,7.5,1.7,0.6,4.6,2.8,29,MVP-9AS,hardeja01
3,Kevin Durant,27,OKC,SF,72,72,35.8,9.7,19.2,0.505,2.6,6.7,0.387,7.1,12.5,0.569,0.573,6.2,6.9,0.898,0.6,7.6,8.2,5,1,1.2,3.5,1.9,28.2,MVP-5ASNBA2,duranke01
4,DeMarcus Cousins,25,SAC,C,65,65,34.6,9.2,20.5,0.451,1.1,3.2,0.333,8.2,17.3,0.473,0.477,7.3,10.2,0.718,2.4,9.1,11.5,3.3,1.6,1.4,3.8,3.6,26.9,ASNBA2,couside01
5,LeBron James,31,CLE,SF,76,76,35.6,9.7,18.6,0.52,1.1,3.7,0.309,8.6,14.9,0.573,0.551,4.7,6.5,0.731,1.5,6,7.4,6.8,1.4,0.6,3.3,1.9,25.3,MVP-3DPOY-11ASNBA1,jamesle01
6,Damian Lillard,25,POR,PG,75,75,35.7,8.2,19.7,0.419,3.1,8.1,0.375,5.2,11.5,0.45,0.497,5.5,6.2,0.892,0.6,3.4,4,6.8,0.9,0.4,3.2,2.2,25.1,MVP-8NBA2,lillada01
7,Anthony Davis,22,NOP,C,61,61,35.5,9.2,18.6,0.493,0.6,1.8,0.324,8.6,16.9,0.511,0.508,5.3,7,0.758,2.1,8.1,10.3,1.9,1.3,2,2,2.4,24.3,DPOY-9AS,davisan02
8,DeMar DeRozan,26,TOR,SG,78,78,35.9,7.9,17.7,0.446,0.6,1.8,0.338,7.3,15.9,0.458,0.463,7.1,8.4,0.85,0.8,3.7,4.5,4,1,0.3,2.2,2.1,23.5,AS,derozde01
9,Russell Westbrook,27,OKC,PG,80,80,34.4,8.2,18.1,0.454,1.3,4.3,0.296,6.9,13.8,0.503,0.489,5.8,7.2,0.812,1.8,6,7.8,10.4,2,0.3,4.3,2.5,23.5,MVP-4ASNBA1,westbru01
10,Paul George,25,IND,SF,81,81,34.8,7.5,17.9,0.418,2.6,7,0.371,4.9,10.9,0.447,0.49,5.6,6.5,0.86,1,6,7,4.1,1.9,0.4,3.3,2.8,23.1,ASNBA3,georgpa01
