Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Tracy McGrady,24,ORL,SG,67,67,39.9,9.7,23.4,0.417,2.6,7.7,0.339,7.1,15.7,0.455,0.473,5.9,7.5,0.796,1.4,4.6,6,5.5,1.4,0.6,2.7,1.9,28,"AS,NBA2"
2,Allen Iverson,28,PHI,SG,48,47,42.5,9.1,23.4,0.387,1.2,4.1,0.286,7.9,19.3,0.408,0.412,7.1,9.5,0.745,0.7,3,3.7,6.8,2.4,0.1,4.4,1.8,26.4,AS
3,Kevin Garnett,27,MIN,PF,82,82,39.4,9.8,19.6,0.499,0.1,0.5,0.256,9.7,19.1,0.506,0.502,4.5,5.7,0.791,3,10.9,13.9,5,1.5,2.2,2.6,2.5,24.2,"MVP-1,DPOY-6,AS,NBA1"
4,Peja Stojaković,26,SAC,SF,81,81,40.3,8.2,17.1,0.48,3,6.8,0.433,5.2,10.3,0.511,0.566,4.9,5.2,0.927,1.1,5.1,6.3,2.1,1.3,0.2,1.9,2,24.2,"MVP-4,AS,NBA2"
5,Kobe Bryant,25,LAL,SG,65,64,37.6,7.9,18.1,0.438,1.1,3.3,0.327,6.8,14.8,0.463,0.468,7,8.2,0.852,1.6,3.9,5.5,5.1,1.7,0.4,2.6,2.7,24,"MVP-5,DPOY-10,AS,NBA1"
6,Ray Allen,28,SEA,SG,56,56,38.4,8,18.2,0.44,2.6,6.8,0.392,5.3,11.4,0.468,0.512,4.4,4.8,0.904,1.2,3.9,5.1,4.8,1.3,0.2,2.8,2.4,23,AS
7,Paul Pierce,26,BOS,SG,80,80,38.7,7.5,18.7,0.402,1.4,4.8,0.299,6.1,13.9,0.438,0.441,6.5,7.9,0.819,0.9,5.7,6.5,5.1,1.6,0.7,3.8,2.9,23,AS
8,Baron Davis,24,NOH,PG,67,66,40.1,8.3,20.9,0.395,2.8,8.7,0.321,5.5,12.2,0.448,0.462,3.5,5.3,0.673,1,3.3,4.3,7.5,2.4,0.4,3.2,2.7,22.9,"MVP-10,AS,NBA3"
9,Vince Carter,27,TOR,SG,73,73,38.2,8.3,20,0.417,1.3,3.3,0.383,7.1,16.6,0.424,0.449,4.6,5.7,0.806,1.3,3.5,4.8,4.8,1.2,0.9,3.1,2.9,22.5,AS
10,Tim Duncan,27,SAS,PF,69,68,36.6,8.6,17.1,0.501,0,0.2,0.167,8.6,16.9,0.505,0.502,5.1,8.5,0.599,3.3,9.2,12.4,3.1,0.9,2.7,2.7,2.4,22.3,"MVP-2,DPOY-7,AS,NBA1"
11,Dirk Nowitzki,25,DAL,C,77,77,37.9,7.9,17,0.462,1.3,3.8,0.341,6.6,13.2,0.496,0.5,4.8,5.5,0.877,1.2,7.5,8.7,2.7,1.2,1.4,1.8,2.8,21.8,"MVP-10,AS,NBA3"
12,Michael Redd,24,MIL,SG,82,82,36.8,7.7,17.5,0.44,1.5,4.4,0.35,6.2,13.1,0.47,0.484,4.7,5.4,0.868,1.4,3.5,5,2.3,1,0.1,1.4,1.9,21.7,"MVP-14,AS,NBA3"
