Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Svetlana Abrosimova,MIN,F,34,843,34,29,843,132,298,0.443,45,101,0.446,87,197,0.442,36,43,0.837,53,150,85,44,4,68,86,345
Chantelle Anderson,SAS,C,11,86,11,1,86,10,20,0.5,0,0,,10,20,0.5,8,12,0.667,6,20,3,1,5,5,11,28
La'Tangela Atkinson,SAC,G-F,28,226,28,0,226,22,47,0.468,0,2,0,22,45,0.489,14,19,0.737,13,44,15,10,5,33,15,58
Seimone Augustus*,MIN,G-F,34,1093,34,34,1093,296,583,0.508,26,62,0.419,270,521,0.518,151,173,0.873,37,136,79,41,21,83,58,769
Alison Bales,IND,C,17,169,17,0,169,24,42,0.571,0,0,,24,42,0.571,7,8,0.875,12,45,2,4,13,7,14,55
Mistie Bass,HOU,F,19,101,19,0,101,9,32,0.281,0,1,0,9,31,0.29,4,16,0.25,14,28,5,5,6,11,16,22
Ashley Battle,NYL,F,34,757,34,5,757,89,244,0.365,29,93,0.312,60,151,0.397,45,58,0.776,32,126,56,35,2,48,50,252
Alana Beard,WAS,G-F,33,1169,33,33,1169,224,539,0.416,47,146,0.322,177,393,0.45,127,150,0.847,25,139,99,64,24,94,105,622
Tully Bevilaqua,IND,G,34,901,34,34,901,66,150,0.44,33,89,0.371,33,61,0.541,15,22,0.682,15,75,92,56,2,53,88,180
Sue Bird,SEA,G,29,919,29,29,919,118,276,0.428,45,133,0.338,73,143,0.51,22,26,0.846,8,57,143,43,8,67,46,303
Nikki Blue,WAS,G,30,420,30,1,420,35,108,0.324,6,27,0.222,29,81,0.358,31,37,0.838,13,63,48,22,5,37,55,107
Lindsay Bowen,NYL,G,6,37,6,1,37,3,10,0.3,3,6,0.5,0,4,0,0,0,,0,2,1,0,0,4,0,9
Kara Braxton,DET,C-F,31,545,31,20,545,84,188,0.447,0,0,,84,188,0.447,39,58,0.672,54,166,16,14,16,62,91,207
Rebekkah Brunson,SAC,F,33,932,33,29,932,141,298,0.473,0,4,0,141,294,0.48,96,140,0.686,130,295,24,44,31,58,78,378
Janell Burse,SEA,C,29,709,29,29,709,93,209,0.445,0,1,0,93,208,0.447,70,101,0.693,67,154,22,13,28,58,86,256
Latasha Byears,HOU,G-F,30,327,30,0,327,65,110,0.591,0,0,,65,110,0.591,21,36,0.583,37,75,16,23,5,37,60,151
Dominique Canty,CHI,G,30,776,30,27,776,87,241,0.361,4,16,0.25,83,225,0.369,81,115,0.704,19,64,123,30,4,57,42,259
Jamie Carey,CON,G,33,419,33,0,419,37,101,0.366,32,71,0.451,5,30,0.167,6,8,0.75,1,30,30,4,0,16,30,112
Swin Cash*,DET,F,31,959,31,31,959,126,307,0.41,0,3,0,126,304,0.414,92,121,0.76,54,189,79,19,13,81,70,344
Iziane Castro Marques,SEA,F-G,34,963,34,34,963,139,331,0.42,60,156,0.385,79,175,0.451,81,101,0.802,19,96,95,35,4,64,70,419
Tamika Catchings*,IND,F,21,678,21,21,678,108,259,0.417,23,74,0.311,85,185,0.459,109,133,0.82,54,189,98,66,22,62,64,348
Cori Chambers,CON,G,1,1,1,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,2,0,0
Kayte Christensen,CHI,F,23,212,23,7,212,20,48,0.417,0,0,,20,48,0.417,8,18,0.444,17,43,7,10,5,21,59,48
Shameka Christon,NYL,G,33,1065,33,32,1065,118,328,0.36,39,119,0.328,79,209,0.378,93,117,0.795,34,149,70,34,19,82,99,368
Claire Coggins,CHI,G,20,196,20,1,196,19,77,0.247,10,50,0.2,9,27,0.333,1,4,0.25,3,16,8,5,1,19,28,49
Stacey Dales,CHI,F,31,845,31,30,845,109,314,0.347,68,201,0.338,41,113,0.363,33,39,0.846,14,55,83,20,0,57,53,319
Helen Darling,SAS,G,33,684,33,19,684,46,120,0.383,15,41,0.366,31,79,0.392,27,35,0.771,7,69,103,45,1,53,84,134
Jessica Davenport,NYL,C,33,382,33,13,382,61,137,0.445,0,1,0,61,136,0.449,54,66,0.818,22,88,9,7,29,44,65,176
Dee Davis,HOU,G,3,19,3,0,19,2,6,0.333,2,3,0.667,0,3,0,0,0,,0,0,0,0,0,5,2,6
Anna DeForge,IND,G,34,795,34,34,795,112,268,0.418,43,105,0.41,69,163,0.423,29,32,0.906,28,111,52,26,4,46,36,296
