Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Farhiya Abdi,LAS,F,18,237,18,5,237,28,79,0.354,9,33,0.273,19,46,0.413,4,7,0.571,5,30,9,7,2,13,31,69
Natalie Achonwa,IND,F,28,484,28,17,484,88,160,0.55,0,0,,88,160,0.55,47,63,0.746,40,97,17,14,13,37,58,223
Danielle Adams,SAS,F-C,30,482,30,2,482,79,191,0.414,22,68,0.324,57,123,0.463,43,52,0.827,33,100,14,14,9,37,45,223
Matee Ajavon,ATL,G,33,580,33,11,580,66,163,0.405,3,18,0.167,63,145,0.434,60,73,0.822,21,82,79,47,5,60,80,195
Kayla Alexander,SAS,C,29,358,29,0,358,37,89,0.416,0,0,,37,89,0.416,22,34,0.647,29,95,6,6,24,24,43,96
Rebecca Allen,NYL,F-G,2,34,2,0,34,3,10,0.3,0,4,0,3,6,0.5,0,0,,2,9,0,3,2,3,1,6
Jayne Appel-Marinelli,SAS,C,30,673,30,28,673,39,102,0.382,0,4,0,39,98,0.398,22,34,0.647,38,187,41,23,38,40,75,100
Seimone Augustus*,MIN,G-F,16,481,16,16,481,96,218,0.44,3,23,0.13,93,195,0.477,26,26,1,9,46,39,9,5,19,17,221
Valeriane Ayayi,SAS,F,16,147,16,0,147,15,48,0.313,4,21,0.19,11,27,0.407,3,7,0.429,8,28,6,8,5,9,18,37
Mistie Bass,PHO,F,33,458,33,7,458,56,109,0.514,0,1,0,56,108,0.519,24,44,0.545,40,100,24,26,24,21,53,136
Vicki Baugh,TUL,F-C,34,533,34,6,533,69,146,0.473,0,1,0,69,145,0.476,45,61,0.738,49,140,20,18,12,43,68,183
Alana Beard,LAS,G-F,15,365,15,11,365,49,100,0.49,2,11,0.182,47,89,0.528,9,10,0.9,3,43,38,17,7,20,31,109
Alex Bentley,CON,G,25,749,25,25,749,142,347,0.409,39,116,0.336,103,231,0.446,44,53,0.83,1,49,49,49,5,29,64,367
Tiffany Bias,PHO,G,15,95,15,0,95,10,29,0.345,4,12,0.333,6,17,0.353,4,6,0.667,0,2,11,2,0,6,10,28
Sue Bird,SEA,G,27,773,27,27,773,107,279,0.384,25,83,0.301,82,196,0.418,39,49,0.796,5,63,147,24,2,66,32,278
Abby Bishop,SEA,F,26,509,26,14,509,52,135,0.385,23,70,0.329,29,65,0.446,8,13,0.615,7,90,25,19,20,28,72,135
