Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Svetlana Abrosimova,MIN,F,34,720,34,2,720,99,241,0.411,24,65,0.369,75,176,0.426,41,62,0.661,44,106,54,34,1,61,66,263
Chantelle Anderson,SAS,C,23,413,23,20,413,59,112,0.527,0,0,,59,112,0.527,35,45,0.778,28,85,15,7,10,29,73,153
La'Tangela Atkinson,IND,G-F,33,419,33,1,419,38,87,0.437,5,17,0.294,33,70,0.471,18,39,0.462,25,76,22,18,5,34,31,99
Seimone Augustus*,MIN,G-F,34,1127,34,34,1127,283,620,0.456,30,85,0.353,253,535,0.473,148,165,0.897,15,128,50,21,18,71,58,744
Sherill Baker,NYL,G,34,614,34,16,614,97,251,0.386,9,33,0.273,88,218,0.404,48,56,0.857,23,56,35,46,1,50,69,251
Mistie Bass,HOU,F,27,273,27,6,273,34,64,0.531,0,0,,34,64,0.531,11,34,0.324,29,64,16,11,3,10,32,79
Jacqueline Batteast,DET,F,26,174,26,1,174,15,54,0.278,2,14,0.143,13,40,0.325,4,7,0.571,13,25,7,2,3,4,21,36
Ashley Battle,NYL,F,33,455,33,2,455,54,141,0.383,15,46,0.326,39,95,0.411,20,25,0.8,13,62,29,31,3,38,32,143
Alana Beard,WAS,G-F,32,1000,32,32,1000,232,469,0.495,37,102,0.363,195,367,0.531,113,149,0.758,23,149,98,59,25,90,92,614
Tully Bevilaqua,IND,G,34,1011,34,34,1011,76,185,0.411,33,106,0.311,43,79,0.544,38,53,0.717,10,77,79,71,1,54,72,223
Agnieszka Bibrzycka,SAS,G-F,32,752,32,22,752,130,311,0.418,55,157,0.35,75,154,0.487,46,53,0.868,10,66,48,26,12,47,49,361
Sue Bird,SEA,G,34,1066,34,34,1066,137,333,0.411,56,153,0.366,81,180,0.45,59,68,0.868,24,102,162,61,5,88,60,389
Nikki Blue,WAS,G,24,181,24,0,181,14,54,0.259,1,12,0.083,13,42,0.31,25,31,0.806,7,20,36,18,0,18,36,54
LaToya Bond,CHA,G,34,608,34,5,608,63,158,0.399,10,46,0.217,53,112,0.473,57,77,0.74,7,49,73,35,8,80,83,193
Kara Braxton,DET,C-F,34,360,34,1,360,58,143,0.406,0,2,0,58,141,0.411,30,48,0.625,42,117,26,11,11,53,83,146
Coretta Brown,CHI,G,15,252,15,2,252,16,59,0.271,12,44,0.273,4,15,0.267,4,8,0.5,4,22,26,10,0,18,12,48
Edwina Brown,HOU,G-F,4,28,4,0,28,1,5,0.2,0,0,,1,5,0.2,2,2,1,1,4,1,1,0,2,2,4
Kiesha Brown,NYL,G,16,58,16,0,58,6,20,0.3,1,4,0.25,5,16,0.313,7,8,0.875,2,8,9,2,0,3,7,20
Jessica Brungo,CON,F,4,7,4,0,7,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0
Rebekkah Brunson,SAC,F,34,603,34,14,603,94,204,0.461,0,0,,94,204,0.461,44,75,0.587,77,191,17,21,15,40,65,232
Janell Burse,SEA,C,27,741,27,27,741,113,221,0.511,1,1,1,112,220,0.509,73,109,0.67,63,178,22,17,25,55,91,300
Latasha Byears,WAS,G-F,26,332,26,0,332,48,107,0.449,0,0,,48,107,0.449,16,20,0.8,37,87,10,12,2,35,58,112
Dominique Canty,HOU,G,15,431,15,15,431,54,105,0.514,0,3,0,54,102,0.529,56,77,0.727,12,52,44,17,0,35,36,164
Jamie Carey,CON,G,24,286,24,0,286,22,58,0.379,14,40,0.35,8,18,0.444,5,5,1,1,16,32,7,0,17,24,63
Swin Cash*,DET,F,34,991,34,34,991,124,323,0.384,1,13,0.077,123,310,0.397,109,143,0.762,63,168,106,20,11,88,85,358
Iziane Castro Marques,SEA,F-G,34,657,34,26,657,91,194,0.469,25,65,0.385,66,129,0.512,39,59,0.661,16,72,47,23,2,49,58,246
