Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Svetlana Abrosimova,SEA,F,19,329,19,4,329,34,98,0.347,8,36,0.222,26,62,0.419,11,24,0.458,11,56,31,20,3,40,26,87
Jessica Adair,MIN,C,19,168,19,0,168,13,37,0.351,0,0,,13,37,0.351,20,35,0.571,11,40,6,3,4,14,28,46
Danielle Adams,SAS,F-C,34,686,34,5,686,141,320,0.441,38,112,0.339,103,208,0.495,82,108,0.759,61,159,33,23,23,42,94,402
Matee Ajavon,WAS,G,33,712,33,22,712,82,274,0.299,31,103,0.301,51,171,0.298,67,81,0.827,20,60,67,53,6,65,97,262
Nicky Anosike,LAS,F-C,10,57,10,0,57,2,8,0.25,0,0,,2,8,0.25,6,6,1,0,12,5,3,2,6,9,10
Jayne Appel-Marinelli,SAS,C,33,625,33,30,625,47,85,0.553,0,1,0,47,84,0.56,22,29,0.759,62,213,39,18,29,39,67,116
Seimone Augustus*,MIN,G-F,29,826,29,29,826,192,391,0.491,45,103,0.437,147,288,0.51,52,61,0.852,16,105,72,27,6,50,31,481
Mistie Bass,CON,F,32,598,32,10,598,99,187,0.529,0,1,0,99,186,0.532,57,80,0.713,59,143,33,24,13,40,59,255
Alana Beard,LAS,G-F,33,1017,33,33,1017,137,314,0.436,35,87,0.402,102,227,0.449,66,83,0.795,10,71,109,66,13,83,91,375
Tully Bevilaqua,SAS,G,28,157,28,0,157,2,12,0.167,1,8,0.125,1,4,0.25,1,2,0.5,1,7,11,7,1,9,7,6
Sue Bird,SEA,G,29,898,29,29,898,133,290,0.459,53,138,0.384,80,152,0.526,36,46,0.783,6,83,155,26,3,65,32,355
Chante Black,TUL,C,29,366,29,13,366,35,70,0.5,0,0,,35,70,0.5,22,32,0.688,26,77,10,15,18,24,33,92
Shannon Bobbitt,WAS,G,28,418,28,5,418,29,88,0.33,9,40,0.225,20,48,0.417,11,18,0.611,11,33,72,14,2,35,38,78
DeWanna Bonner,PHO,F-G,32,1120,32,32,1120,212,582,0.364,52,184,0.283,160,398,0.402,184,216,0.852,55,230,71,54,28,75,46,660
Kara Braxton,NYL,C-F,34,535,34,18,535,102,212,0.481,1,5,0.2,101,207,0.488,18,40,0.45,61,153,36,17,21,74,59,223
Rebekkah Brunson,MIN,F,31,837,31,31,837,138,273,0.505,0,0,,138,273,0.505,76,112,0.679,108,277,37,37,29,40,71,352
Kelley Cain,NYL,C,20,136,20,0,136,8,18,0.444,0,0,,8,18,0.444,7,11,0.636,11,30,2,2,4,10,13,23
Dominique Canty,WAS,G,6,72,6,5,72,6,23,0.261,0,3,0,6,20,0.3,5,10,0.5,3,8,6,2,0,8,10,17
Essence Carson,NYL,G,34,927,34,23,927,158,395,0.4,36,105,0.343,122,290,0.421,42,54,0.778,29,117,58,37,25,59,52,394
Sydney Carter,CHI,G,1,9,1,0,9,2,6,0.333,0,2,0,2,4,0.5,0,0,,0,0,0,1,0,1,0,4
Swin Cash*,CHI,F,34,1021,34,34,1021,126,343,0.367,32,114,0.281,94,229,0.41,75,98,0.765,55,197,79,34,17,94,81,359
Iziane Castro Marques,WAS,F-G,11,132,11,0,132,14,53,0.264,1,6,0.167,13,47,0.277,5,7,0.714,4,12,8,3,0,8,8,34
Tamika Catchings*,IND,F,34,1036,34,34,1036,200,463,0.432,50,132,0.379,150,331,0.453,140,162,0.864,62,258,107,70,29,59,84,590
Tina Charles,CON,C,33,1096,33,33,1096,250,501,0.499,1,5,0.2,249,496,0.502,93,116,0.802,123,345,57,17,47,74,64,594
Shameka Christon,SAS,G,34,695,34,31,695,83,232,0.358,54,158,0.342,29,74,0.392,50,64,0.781,17,67,43,18,16,20,41,270
Alysha Clark,SEA,F,23,238,23,0,238,29,53,0.547,9,20,0.45,20,33,0.606,12,17,0.706,13,47,7,5,1,19,27,79
Marissa Coleman,LAS,G-F,34,548,34,2,548,37,116,0.319,14,55,0.255,23,61,0.377,18,20,0.9,24,87,36,21,8,24,44,106
Monique Currie,WAS,F,34,820,34,28,820,129,319,0.404,22,80,0.275,107,239,0.448,127,164,0.774,28,122,59,35,7,59,85,407
Jessica Davenport,IND,C,34,514,34,2,514,84,179,0.469,1,3,0.333,83,176,0.472,60,81,0.741,35,115,22,23,26,51,62,229
Erika de Souza,ATL,F-C,15,449,15,15,449,79,151,0.523,0,0,,79,151,0.523,16,23,0.696,48,123,24,20,23,31,45,174
Scholanda Dorrell,TUL,G,26,385,26,8,385,37,113,0.327,16,50,0.32,21,63,0.333,20,30,0.667,13,32,13,25,3,25,46,110
Katie Douglas,IND,G-F,32,990,32,32,990,184,445,0.413,80,189,0.423,104,256,0.406,81,96,0.844,33,121,71,48,10,53,55,529
Victoria Dunlap,SEA,F,5,28,5,0,28,3,10,0.3,0,1,0,3,9,0.333,7,10,0.7,7,11,1,0,0,3,4,13
Candice Dupree,PHO,F,13,345,13,12,345,71,147,0.483,0,1,0,71,146,0.486,30,37,0.811,16,62,17,8,7,27,20,172
Dawn Evans,LAS,G,3,15,3,0,15,1,5,0.2,0,4,0,1,1,1,0,0,,0,0,3,1,0,2,1,2
Sylvia Fowles,CHI,C,25,778,25,25,778,157,246,0.638,0,0,,157,246,0.638,92,133,0.692,94,260,21,33,30,53,55,406
Briana Gilbreath-Butler,PHO,G,11,258,11,2,258,24,71,0.338,14,37,0.378,10,34,0.294,15,19,0.789,14,40,12,5,5,14,15,77
Sasha Goodlett,IND,C,26,197,26,0,197,33,74,0.446,0,0,,33,74,0.446,14,20,0.7,18,41,6,8,7,9,17,80
Alexis Gray-Lawson,PHO,G,19,318,19,0,318,30,102,0.294,6,38,0.158,24,64,0.375,19,26,0.731,14,38,23,7,3,18,40,85
Kalana Greene,CON,G,34,605,34,31,605,53,121,0.438,5,22,0.227,48,99,0.485,32,46,0.696,18,63,57,39,7,27,45,143
Kelsey Griffin,CON,F,31,375,31,6,375,34,99,0.343,3,15,0.2,31,84,0.369,24,34,0.706,29,90,15,18,10,27,37,95
Becky Hammon*,SAS,G,33,998,33,33,998,160,363,0.441,80,184,0.435,80,179,0.447,85,97,0.876,9,83,176,31,6,106,37,485
Lindsey Harding,ATL,G,34,1040,34,32,1040,157,369,0.425,14,58,0.241,143,311,0.46,90,110,0.818,16,95,153,46,7,70,47,418
Amber Harris,MIN,F,27,240,27,0,240,36,89,0.404,7,18,0.389,29,71,0.408,15,22,0.682,10,50,15,9,13,15,27,94
Tiffany Hayes,ATL,G,34,787,34,17,787,90,231,0.39,21,77,0.273,69,154,0.448,92,117,0.786,24,105,73,28,12,51,89,293
Aneika Henry-Morello,ATL,F-C,34,613,34,14,613,65,139,0.468,0,0,,65,139,0.468,32,42,0.762,53,140,15,16,30,28,70,162
Allison Hightower,CON,G,34,827,34,29,827,90,256,0.352,18,76,0.237,72,180,0.4,32,35,0.914,21,79,84,43,5,47,79,230
Ebony Hoffman,LAS,F,20,208,20,0,208,18,52,0.346,5,19,0.263,13,33,0.394,8,10,0.8,13,42,9,13,1,13,30,49
Amber Holt,TUL,F,24,456,24,18,456,57,134,0.425,17,49,0.347,40,85,0.471,9,16,0.563,10,45,28,11,0,16,25,140
Alexis Hornbuckle,PHO,G,34,865,34,25,865,86,257,0.335,26,80,0.325,60,177,0.339,23,38,0.605,45,142,68,42,17,72,98,221
Charde Houston,PHO,F,27,694,27,20,694,126,309,0.408,39,112,0.348,87,197,0.442,34,47,0.723,29,93,44,34,10,52,80,325
Lauren Jackson*,SEA,F-C,9,167,9,9,167,34,80,0.425,6,29,0.207,28,51,0.549,18,25,0.72,7,50,2,4,7,12,20,92
Briann January,IND,G,31,879,31,26,879,99,245,0.404,46,107,0.43,53,138,0.384,76,87,0.874,13,55,122,36,4,76,78,320
Glory Johnson,TUL,F,34,958,34,28,958,131,272,0.482,0,0,,131,272,0.482,130,192,0.677,95,232,38,73,20,71,103,392
Shenise Johnson,SAS,G,34,581,34,1,581,68,187,0.364,21,51,0.412,47,136,0.346,35,41,0.854,55,131,46,27,6,37,50,192
Temeka Johnson,TUL,G,29,833,29,28,833,128,308,0.416,34,64,0.531,94,244,0.385,63,75,0.84,18,93,135,34,1,79,70,353
Asjha Jones,CON,F,20,558,20,19,558,102,229,0.445,4,12,0.333,98,217,0.452,35,39,0.897,49,141,39,19,11,51,61,243
Ewelina Kobryn,SEA,C,33,438,33,6,438,56,136,0.412,10,27,0.37,46,109,0.422,36,50,0.72,16,78,15,16,14,41,46,158
Laurie Koehn,ATL,G,23,112,23,0,112,14,41,0.341,13,39,0.333,1,2,0.5,0,0,,2,10,3,2,0,6,4,41
Cathrine Kraayeveld,ATL,F,33,507,33,1,507,56,133,0.421,35,87,0.402,21,46,0.457,5,15,0.333,17,92,28,14,16,26,32,152
Jennifer Lacy,TUL,F,26,573,26,6,573,77,198,0.389,44,109,0.404,33,89,0.371,24,37,0.649,25,68,22,16,9,36,76,222
Natasha Lacy,WAS,G,20,259,20,1,259,29,81,0.358,5,21,0.238,24,60,0.4,14,18,0.778,10,42,25,13,5,23,27,77
Crystal Langhorne,WAS,F-C,31,999,31,31,999,190,338,0.562,1,8,0.125,189,330,0.573,75,117,0.641,75,194,42,46,4,75,65,456
Erlana Larkins,IND,F,34,526,34,2,526,55,108,0.509,0,0,,55,108,0.509,31,36,0.861,70,148,36,34,5,34,62,141
Ivory Latta,TUL,G,34,962,34,18,962,175,407,0.43,69,177,0.39,106,230,0.461,68,81,0.84,14,75,111,31,3,73,75,487
Jantel Lavender,LAS,F,34,490,34,1,490,81,160,0.506,0,0,,81,160,0.506,27,32,0.844,50,134,18,9,18,38,56,189
Kara Lawson,CON,G,34,1066,34,34,1066,169,343,0.493,74,172,0.43,95,171,0.556,100,107,0.935,17,131,136,27,5,60,40,512
Yelena Leuchanka,ATL,C,19,260,19,5,260,24,63,0.381,0,1,0,24,62,0.387,10,14,0.714,16,52,12,9,9,28,34,58
Camille Smith,SEA,F,34,947,34,34,947,130,274,0.474,11,33,0.333,119,241,0.494,113,153,0.739,52,175,63,24,17,93,93,384
Sancho Lyttle,ATL,F,34,1074,34,34,1074,199,483,0.412,28,110,0.255,171,373,0.458,50,66,0.758,47,259,85,82,23,88,100,476
Angel McCoughtry,ATL,F-G,24,718,24,17,718,177,396,0.447,28,83,0.337,149,313,0.476,132,165,0.8,50,119,69,60,27,95,56,514
Danielle McCray,CON,F,28,389,28,8,389,39,124,0.315,20,60,0.333,19,64,0.297,37,41,0.902,14,56,33,17,0,28,41,135
Taj McWilliams-Franklin,MIN,F-C,33,879,33,33,879,122,235,0.519,2,5,0.4,120,230,0.522,30,40,0.75,55,177,84,34,46,66,75,276
Coco Miller,LAS,G,10,141,10,1,141,11,37,0.297,2,6,0.333,9,31,0.29,2,2,1,9,27,11,2,0,13,4,26
