Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Jessica Adair,MIN,C,31,321,31,1,321,50,103,0.485,0,0,,50,103,0.485,32,49,0.653,43,90,10,8,18,27,51,132
Danielle Adams,SAS,F-C,23,480,23,0,480,99,230,0.43,35,100,0.35,64,130,0.492,53,71,0.746,35,98,13,12,15,27,60,286
Matee Ajavon,WAS,G,34,1065,34,33,1065,174,445,0.391,37,134,0.276,137,311,0.441,116,140,0.829,30,80,105,57,9,105,109,501
Nicky Anosike,WAS,F-C,34,924,34,29,924,75,216,0.347,0,1,0,75,215,0.349,89,121,0.736,83,245,47,49,28,59,87,239
Jayne Appel-Marinelli,SAS,C,31,452,31,0,452,42,89,0.472,1,3,0.333,41,86,0.477,14,25,0.56,40,142,25,17,20,23,68,99
Seimone Augustus*,MIN,G-F,34,997,34,34,997,231,458,0.504,25,60,0.417,206,398,0.518,64,74,0.865,19,120,75,30,15,45,41,551
Miranda Ayim,TUL,F,3,42,3,0,42,4,9,0.444,0,0,,4,9,0.444,0,2,0,4,7,2,2,1,4,7,8
Alison Bales,ATL,C,34,687,34,15,687,70,144,0.486,6,17,0.353,64,127,0.504,24,32,0.75,35,160,42,15,53,16,56,170
Tully Bevilaqua,SAS,G,34,494,34,25,494,37,82,0.451,12,42,0.286,25,40,0.625,13,18,0.722,10,48,55,24,2,25,31,99
Sue Bird,SEA,G,34,1123,34,34,1123,183,408,0.449,71,166,0.428,112,242,0.463,63,72,0.875,14,99,165,48,6,80,43,500
Angie Bjorklund,CHI,F,7,43,7,0,43,2,11,0.182,1,5,0.2,1,6,0.167,3,3,1,0,2,2,1,0,2,8,8
Shannon Bobbitt,IND,G,31,439,31,3,439,41,115,0.357,17,44,0.386,24,71,0.338,23,30,0.767,12,41,54,30,0,37,33,122
DeWanna Bonner,PHO,F-G,34,857,34,5,857,120,279,0.43,35,102,0.343,85,177,0.48,90,99,0.909,62,238,27,34,36,34,61,365
Rebekkah Brunson,MIN,F,34,938,34,34,938,137,268,0.511,0,0,,137,268,0.511,74,111,0.667,96,301,40,28,18,51,72,348
Liz Cambage,TUL,C,33,659,33,11,659,134,262,0.511,0,5,0,134,257,0.521,112,141,0.794,54,156,17,28,29,79,95,380
Dominique Canty,CHI,G,22,331,22,8,331,35,110,0.318,1,7,0.143,34,103,0.33,19,33,0.576,8,27,45,10,2,32,37,90
Essence Carson,NYL,G,32,725,32,5,725,139,318,0.437,24,62,0.387,115,256,0.449,59,80,0.738,31,90,53,38,20,46,60,361
Swin Cash*,SEA,F,34,1128,34,34,1128,151,381,0.396,35,123,0.285,116,258,0.45,115,136,0.846,52,234,81,32,21,94,100,452
Iziane Castro Marques,ATL,F-G,34,672,34,14,672,99,275,0.36,17,80,0.213,82,195,0.421,44,71,0.62,15,58,57,13,4,54,38,259
Tamika Catchings*,IND,F,33,1040,33,33,1040,168,384,0.438,32,92,0.348,136,292,0.466,143,162,0.883,63,233,115,67,30,73,69,511
Tina Charles,CON,C,34,1136,34,34,1136,254,543,0.468,0,3,0,254,540,0.47,92,134,0.687,126,374,63,26,60,75,89,600
Joy Cheek,WAS,F,3,16,3,0,16,1,4,0.25,0,1,0,1,3,0.333,1,1,1,0,3,0,0,1,2,2,3
Felicia Chester,NYL,F,4,27,4,0,27,1,3,0.333,0,0,,1,3,0.333,0,2,0,4,8,0,1,0,0,4,2
Marissa Coleman,WAS,G-F,34,918,34,28,918,107,278,0.385,53,144,0.368,54,134,0.403,25,37,0.676,46,164,47,24,14,54,80,292
