Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Sydney Colson,NYL,G,16,86,16,0,86,7,20,0.35,3,7,0.429,4,13,0.308,5,6,0.833,0,6,10,4,2,17,9,22
Monique Currie,WAS,F,4,77,4,1,77,15,35,0.429,1,8,0.125,14,27,0.519,16,16,1,7,17,4,7,0,10,11,47
Jessica Davenport,IND,C,34,717,34,8,717,145,274,0.529,0,3,0,145,271,0.535,73,104,0.702,50,163,17,27,45,55,77,363
Erika de Souza,ATL,F-C,32,877,32,32,877,171,343,0.499,0,1,0,171,342,0.5,36,55,0.655,83,240,31,38,43,57,94,378
Scholanda Dorrell,SAS,G,32,518,32,22,518,52,155,0.335,18,53,0.34,34,102,0.333,31,44,0.705,9,49,12,23,7,19,51,153
Katie Douglas,IND,G-F,32,940,32,32,940,166,357,0.465,66,150,0.44,100,207,0.483,47,70,0.671,31,126,91,41,8,65,48,445
Victoria Dunlap,WAS,F,26,219,26,3,219,25,57,0.439,1,2,0.5,24,55,0.436,8,17,0.471,17,43,11,18,5,15,19,59
Candice Dupree,PHO,F,34,1075,34,34,1075,198,361,0.548,1,6,0.167,197,355,0.555,98,115,0.852,86,279,61,19,25,67,74,495
Shyra Ely-Gash,IND,F,33,355,33,0,355,39,109,0.358,5,24,0.208,34,85,0.4,20,29,0.69,19,73,9,6,6,25,46,103
Marie Ferdinand-Harris,PHO,G,34,593,34,2,593,87,260,0.335,18,54,0.333,69,206,0.335,38,39,0.974,14,51,39,19,7,43,61,230
Sylvia Fowles,CHI,C,34,1175,34,34,1175,263,445,0.591,0,0,,263,445,0.591,154,201,0.766,100,347,22,41,68,96,85,680
Kerri Gardin,WAS,F,28,391,28,5,391,14,59,0.237,0,8,0,14,51,0.275,15,29,0.517,22,75,27,24,13,26,39,43
Alexis Gray-Lawson,PHO,G,27,308,27,0,308,33,83,0.398,15,43,0.349,18,40,0.45,23,28,0.821,5,20,35,6,0,21,30,104
Kalana Greene,CON,G,33,781,33,33,781,70,166,0.422,18,46,0.391,52,120,0.433,27,45,0.6,26,125,49,30,12,29,55,185
Kelsey Griffin,CON,F,34,441,34,2,441,41,115,0.357,4,24,0.167,37,91,0.407,38,52,0.731,45,104,18,25,10,13,42,124
Becky Hammon*,SAS,G,33,1050,33,33,1050,176,400,0.44,75,193,0.389,101,207,0.488,99,111,0.892,5,96,192,49,7,119,51,526
Lindsey Harding,ATL,G,34,1037,34,33,1037,141,310,0.455,10,33,0.303,131,277,0.473,66,90,0.733,17,109,162,34,6,81,60,358
Amber Harris,MIN,F,27,278,27,0,278,33,83,0.398,0,0,,33,83,0.398,23,31,0.742,24,60,11,3,11,13,33,89
Allison Hightower,CON,G,25,231,25,2,231,19,56,0.339,4,18,0.222,15,38,0.395,9,12,0.75,4,16,13,11,1,7,22,51
Doneeka Lewis,TUL,G,5,101,5,2,101,12,43,0.279,7,26,0.269,5,17,0.294,0,0,,3,11,14,4,1,13,7,31
Roneeka Hodges,SAS,G,28,273,28,5,273,36,89,0.404,32,80,0.4,4,9,0.444,5,5,1,3,35,14,5,2,4,10,109
Ebony Hoffman,LAS,F,34,752,34,16,752,97,222,0.437,24,56,0.429,73,166,0.44,38,45,0.844,44,142,37,36,9,51,77,256
Quanitra Hollingsworth,NYL,C,31,524,31,1,524,54,103,0.524,0,0,,54,103,0.524,36,53,0.679,54,137,10,16,10,44,79,144
Amber Holt,TUL,F,26,666,26,24,666,61,202,0.302,15,70,0.214,46,132,0.348,38,42,0.905,28,80,62,18,3,34,57,175
Alexis Hornbuckle,MIN,G,29,208,29,0,208,12,32,0.375,5,17,0.294,7,15,0.467,2,4,0.5,6,33,16,10,3,21,30,31
Charde Houston,MIN,F,27,210,27,0,210,31,85,0.365,6,23,0.261,25,62,0.403,9,12,0.75,10,47,14,9,2,21,34,77
Ify Ibekwe,SEA,F,3,8,3,0,8,0,2,0,0,0,,0,2,0,0,0,,0,3,0,0,0,1,0,0
Sandora Irvin,ATL,F,30,248,30,1,248,20,59,0.339,0,5,0,20,54,0.37,14,20,0.7,32,76,14,6,15,16,48,54
Lauren Jackson*,SEA,F-C,13,322,13,13,322,53,134,0.396,14,45,0.311,39,89,0.438,38,43,0.884,11,64,4,13,11,17,33,158
Tiffany Jackson-Jones,TUL,F,34,1152,34,32,1152,151,331,0.456,0,1,0,151,330,0.458,121,156,0.776,100,286,68,40,21,95,94,423
Briann January,IND,G,10,286,10,10,286,25,70,0.357,7,22,0.318,18,48,0.375,29,35,0.829,5,14,50,15,0,33,33,86
Temeka Johnson,PHO,G,30,717,30,30,717,74,170,0.435,25,65,0.385,49,105,0.467,19,22,0.864,9,60,132,24,5,57,53,192
Asjha Jones,CON,F,34,971,34,34,971,198,446,0.444,3,10,0.3,195,436,0.447,54,76,0.711,64,217,64,21,16,64,102,453
Marion Jones,TUL,G,14,91,14,0,91,4,21,0.19,0,4,0,4,17,0.235,2,4,0.5,4,6,3,7,2,5,11,10
Ewelina Kobryn,SEA,C,18,123,18,0,123,11,30,0.367,2,7,0.286,9,23,0.391,2,3,0.667,5,22,6,5,6,8,16,26
Cathrine Kraayeveld,CHI,F,33,681,33,15,681,66,167,0.395,52,127,0.409,14,40,0.35,11,15,0.733,24,86,41,21,8,38,40,195
Jennifer Lacy,TUL,F,34,653,34,18,653,82,204,0.402,28,80,0.35,54,124,0.435,21,30,0.7,29,90,34,20,17,51,86,213
Natasha Lacy,LAS,G,29,394,29,0,394,57,133,0.429,4,12,0.333,53,121,0.438,27,50,0.54,19,64,48,28,9,35,40,145
Crystal Langhorne,WAS,F-C,31,1063,31,31,1063,227,425,0.534,1,8,0.125,226,417,0.542,108,152,0.711,96,235,51,39,15,102,72,563
Ivory Latta,TUL,G,24,684,24,24,684,110,266,0.414,34,97,0.351,76,169,0.45,39,47,0.83,10,48,77,29,2,69,57,293
Jantel Lavender,LAS,F,33,487,33,3,487,92,184,0.5,0,0,,92,184,0.5,33,45,0.733,35,103,15,6,12,28,46,217
Kara Lawson,CON,G,33,832,33,8,832,111,247,0.449,55,128,0.43,56,119,0.471,65,73,0.89,12,87,96,23,1,46,36,342
Shalee Lehning,ATL,G,18,218,18,0,218,13,27,0.481,4,9,0.444,9,18,0.5,8,13,0.615,4,24,41,8,2,27,23,38
Betty Lennox,TUL,G,9,55,9,0,55,4,23,0.174,4,17,0.235,0,6,0,5,6,0.833,2,8,5,2,0,6,7,17
Camille Smith,SEA,F,33,887,33,33,887,129,278,0.464,5,22,0.227,124,256,0.484,55,83,0.663,46,171,54,45,22,75,110,318
Sancho Lyttle,ATL,F,22,577,22,19,577,90,201,0.448,2,7,0.286,88,194,0.454,39,55,0.709,41,138,47,52,12,44,46,221
Kelly Mazzante,ATL,G,6,34,6,0,34,1,12,0.083,1,12,0.083,0,0,,0,0,,0,2,0,1,0,1,2,3
Angel McCoughtry,ATL,F-G,33,921,33,30,921,235,554,0.424,19,72,0.264,216,482,0.448,223,287,0.777,53,173,84,72,32,104,99,712
Danielle McCray,CON,F,34,513,34,23,513,69,173,0.399,34,87,0.391,35,86,0.407,27,35,0.771,14,77,42,16,4,34,45,199
Taj McWilliams-Franklin,MIN,F-C,34,966,34,33,966,116,261,0.444,2,9,0.222,114,252,0.452,47,61,0.77,74,205,81,35,24,53,81,281
Coco Miller,ATL,G,31,538,31,5,538,96,222,0.432,15,45,0.333,81,177,0.458,20,37,0.541,22,59,43,18,1,31,64,227
Kelly Miller,WAS,G,34,943,34,29,943,86,225,0.382,49,111,0.441,37,114,0.325,30,38,0.789,22,78,95,23,8,61,70,251
DeLisha Milton-Jones,LAS,F,34,891,34,34,891,154,333,0.462,25,71,0.352,129,262,0.492,64,77,0.831,55,158,67,32,12,83,99,397
Leilani Mitchell,NYL,G,34,864,34,30,864,69,184,0.375,43,118,0.364,26,66,0.394,8,10,0.8,17,73,100,44,3,43,77,189
Jacinta Monroe,TUL,F,4,21,4,0,21,0,4,0,0,0,,0,4,0,0,0,,2,4,1,0,0,2,3,0
Alex Montgomery,NYL,G-F,30,271,30,0,271,28,85,0.329,8,18,0.444,20,67,0.299,11,17,0.647,15,54,21,10,7,19,33,75
Renee Montgomery,CON,G,34,991,34,34,991,154,385,0.4,61,159,0.384,93,226,0.412,126,152,0.829,12,73,167,49,3,89,46,495
Jessica Moore,CON,F-C,29,199,29,0,199,17,40,0.425,0,0,,17,40,0.425,14,18,0.778,10,23,5,5,2,14,19,48
Maya Moore,MIN,F,34,951,34,34,951,164,374,0.439,58,157,0.369,106,217,0.488,63,80,0.788,57,157,90,48,16,50,92,449
Shay Murphy,CHI,G,10,205,10,0,205,31,84,0.369,10,25,0.4,21,59,0.356,26,28,0.929,26,48,11,13,4,19,29,98
Jenna O'Hea,LAS,F,31,507,31,5,507,49,113,0.434,28,63,0.444,21,50,0.42,22,28,0.786,15,47,40,12,5,26,46,148
Abi Olajuwon,TUL,C,16,99,16,0,99,7,26,0.269,0,0,,7,26,0.269,2,2,1,3,12,2,0,2,5,9,16
Courtney Paris,ATL,C,28,269,28,0,269,40,77,0.519,0,1,0,40,76,0.526,16,31,0.516,38,88,10,8,11,8,45,96
Candace Parker,LAS,F-C,17,555,17,16,555,116,227,0.511,18,43,0.419,98,184,0.533,64,87,0.736,21,146,47,21,27,33,34,314
Kayla Pedersen,TUL,F,33,784,33,20,784,80,199,0.402,22,68,0.324,58,131,0.443,43,54,0.796,25,120,58,35,12,42,79,225
Ticha Penicheiro,LAS,G,34,807,34,23,807,72,148,0.486,15,36,0.417,57,112,0.509,46,53,0.868,7,94,162,28,3,71,48,205
Jia Perkins,SAS,G,34,852,34,8,852,154,368,0.418,40,128,0.313,114,240,0.475,60,71,0.845,22,118,47,44,9,35,48,408
Erin Phillips,IND,G,31,689,31,22,689,91,197,0.462,26,61,0.426,65,136,0.478,60,72,0.833,16,88,74,30,0,45,52,268
Porsha Phillips,SAS,F,31,258,31,1,258,23,59,0.39,0,0,,23,59,0.39,9,19,0.474,18,58,9,5,12,9,32,55
Plenette Pierson,NYL,F,33,945,33,33,945,173,362,0.478,2,10,0.2,171,352,0.486,79,98,0.806,62,172,45,38,30,62,89,427
Jeanette Pohlen-Mavunga,IND,G,34,539,34,2,539,48,102,0.471,29,62,0.468,19,40,0.475,13,15,0.867,10,47,33,13,4,21,32,138
Cappie Pondexter,NYL,G,34,1151,34,34,1151,212,528,0.402,58,168,0.345,154,360,0.428,109,134,0.813,22,139,160,43,10,93,69,591
Nicole Powell,NYL,F,33,935,33,33,935,118,288,0.41,54,153,0.353,64,135,0.474,29,32,0.906,32,140,76,45,10,65,74,319
Armintie Herrington,ATL,G,34,797,34,21,797,108,208,0.519,0,2,0,108,206,0.524,73,120,0.608,51,101,96,52,2,49,61,289
Epiphanny Prince,CHI,G,34,1001,34,27,1001,162,432,0.375,50,134,0.373,112,298,0.376,90,112,0.804,23,71,102,79,13,57,76,464
LaToya Sanders,LAS,F-C,20,222,20,0,222,26,55,0.473,1,1,1,25,54,0.463,24,27,0.889,18,47,5,5,13,12,27,77
Allie Quigley,SEA,G,7,14,7,0,14,1,5,0.2,0,1,0,1,4,0.25,2,2,1,1,4,1,1,1,1,1,4
Noelle Quinn,LAS,G,33,681,33,23,681,64,164,0.39,23,58,0.397,41,106,0.387,18,22,0.818,11,59,65,21,2,24,26,169
Chastity Reed,TUL,F,11,145,11,1,145,17,46,0.37,0,1,0,17,45,0.378,4,6,0.667,2,21,8,3,1,12,26,38
Andrea Riley,TUL,G,33,626,33,10,626,64,204,0.314,24,112,0.214,40,92,0.435,47,55,0.855,5,38,58,32,3,67,77,199
Ruth Riley,SAS,C,34,645,34,34,645,81,167,0.485,8,14,0.571,73,153,0.477,20,26,0.769,27,130,42,12,30,29,88,190
Ashley Robinson,SEA,C,34,583,34,13,583,59,122,0.484,0,1,0,59,121,0.488,11,22,0.5,41,132,24,22,33,44,91,129
Danielle Robinson,SAS,G,34,786,34,9,786,98,213,0.46,0,1,0,98,212,0.462,84,93,0.903,24,79,132,28,4,60,76,280
Nakia Sanford,PHO,C-F,33,476,33,16,476,46,95,0.484,0,0,,46,95,0.484,45,60,0.75,50,137,12,7,7,29,73,137
Olayinka Sanni,PHO,F-C,14,73,14,0,73,10,15,0.667,0,0,,10,15,0.667,2,6,0.333,4,10,0,3,1,13,23,22
Katie Smith*,SEA,G,34,853,34,3,853,88,223,0.395,49,124,0.395,39,99,0.394,30,35,0.857,17,79,68,24,5,45,66,255
Tangela Smith,IND,C,33,711,33,32,711,88,237,0.371,32,94,0.34,56,143,0.392,30,34,0.882,27,102,49,22,16,42,80,238
Belinda Snell,SEA,G,21,134,21,0,134,11,28,0.393,8,21,0.381,3,7,0.429,11,13,0.846,3,15,7,3,2,9,18,41
Michelle Snow,CHI,C,34,821,34,30,821,82,180,0.456,0,2,0,82,178,0.461,38,50,0.76,39,213,64,16,44,70,84,202
Tammy Sutton-Brown,IND,C,34,645,34,26,645,68,139,0.489,0,3,0,68,136,0.5,52,70,0.743,41,106,19,36,41,33,65,188
Ketia Swanier,PHO,G,29,429,29,4,429,27,79,0.342,12,42,0.286,15,37,0.405,11,16,0.688,6,55,66,23,1,50,50,77
Sheryl Swoopes*,TUL,F-G,33,879,33,28,879,101,254,0.398,29,91,0.319,72,163,0.442,40,46,0.87,21,136,76,25,9,45,47,271
Carolyn Swords,CHI,C,29,218,29,4,218,28,53,0.528,0,0,,28,53,0.528,21,24,0.875,17,51,9,5,7,16,26,77
Diana Taurasi,PHO,G,32,965,32,32,965,208,463,0.449,81,205,0.395,127,258,0.492,195,216,0.903,13,101,114,24,20,96,113,692
Penny Taylor,PHO,F,29,864,29,29,864,164,321,0.511,45,112,0.402,119,209,0.569,111,127,0.874,28,141,135,49,11,65,67,484
Jasmine Thomas,WAS,G,34,655,34,6,655,85,241,0.353,24,77,0.312,61,164,0.372,24,36,0.667,13,73,64,25,9,55,60,218
Tina Thompson*,LAS,F,34,851,34,33,851,120,311,0.386,43,127,0.339,77,184,0.418,55,66,0.833,50,156,38,39,23,68,74,338
Erin Thorn,CHI,G,34,571,34,7,571,66,163,0.405,32,81,0.395,34,82,0.415,18,19,0.947,9,58,83,11,3,59,12,182
Kristi Toliver,LAS,G,32,754,32,17,754,126,298,0.423,56,131,0.427,70,167,0.419,49,54,0.907,18,61,93,21,0,66,58,357
Courtney Vandersloot,CHI,G,34,777,34,26,777,84,215,0.391,16,59,0.271,68,156,0.436,36,47,0.766,5,67,127,24,13,92,86,220
Kia Vaughn,NYL,C,34,955,34,34,955,149,300,0.497,0,0,,149,300,0.497,44,56,0.786,96,227,39,40,25,61,97,342
Lindsay Whalen*,MIN,G,34,956,34,34,956,179,350,0.511,17,42,0.405,162,308,0.526,89,122,0.73,30,119,199,37,5,75,64,464
Tan White,CON,G,34,747,34,0,747,68,192,0.354,23,82,0.28,45,110,0.409,42,50,0.84,17,97,66,40,6,42,65,201
Candice Wiggins,MIN,G,34,582,34,0,582,68,176,0.386,49,124,0.395,19,52,0.365,15,24,0.625,6,63,50,18,7,30,59,200
Le'coe Willingham,SEA,F,34,649,34,8,649,87,184,0.473,11,40,0.275,76,144,0.528,34,53,0.642,53,143,37,18,7,45,61,219
Lindsay Wisdom-Hylton,CHI,F,29,234,29,0,234,22,53,0.415,0,1,0,22,52,0.423,4,8,0.5,18,54,18,11,14,21,37,48
Monica Wright,MIN,G,29,393,29,0,393,53,140,0.379,7,27,0.259,46,113,0.407,36,48,0.75,6,47,31,23,5,28,46,149
Tanisha Wright,SEA,G,33,953,33,32,953,118,240,0.492,18,49,0.367,100,191,0.524,78,87,0.897,25,106,97,40,1,90,97,332
Sophia Young-Malcolm,SAS,F,33,1043,33,33,1043,171,399,0.429,0,6,0,171,393,0.435,93,157,0.592,48,212,76,67,16,51,78,435
Tamera Young,CHI,F,33,792,33,19,792,102,240,0.425,1,7,0.143,101,233,0.433,55,76,0.724,41,124,43,37,9,62,98,260
Shavonte Zellous,IND,G,33,463,33,2,463,57,130,0.438,9,34,0.265,48,96,0.5,58,74,0.784,21,80,45,12,15,32,74,181
Kara Braxton,TOT,C-F,31,522,31,18,522,104,203,0.512,5,11,0.455,99,192,0.516,29,52,0.558,46,128,34,20,20,51,85,242
Jessica Breland,TOT,F,13,75,13,0,75,9,23,0.391,0,0,,9,23,0.391,2,2,1,3,14,4,2,7,3,9,20
Karima Christmas-Kelly,TOT,F-G,31,308,31,0,308,30,88,0.341,9,40,0.225,21,48,0.438,32,43,0.744,20,37,7,14,4,25,35,101
Ta'Shia Phillips,TOT,C,15,72,15,0,72,8,15,0.533,0,0,,8,15,0.533,6,12,0.5,11,19,1,0,3,3,18,22
Sidney Spencer,TOT,G,24,178,24,0,178,22,50,0.44,7,16,0.438,15,34,0.441,4,4,1,4,18,11,0,0,2,14,55
Krystal Thomas,TOT,C,15,120,15,0,120,10,17,0.588,0,0,,10,17,0.588,3,6,0.5,5,12,2,2,7,10,22,23
DeMya Walker,TOT,F,30,489,30,5,489,57,144,0.396,0,3,0,57,141,0.404,36,49,0.735,46,96,24,10,7,45,72,150
Kara Braxton,PHO,C-F,18,356,18,18,356,81,145,0.559,4,8,0.5,77,137,0.562,25,42,0.595,29,89,24,15,14,32,57,191
Jessica Breland,NYL,F,9,69,9,0,69,8,21,0.381,0,0,,8,21,0.381,2,2,1,3,14,4,2,6,3,9,18
Karima Christmas-Kelly,WAS,F-G,14,142,14,0,142,13,42,0.31,5,23,0.217,8,19,0.421,16,23,0.696,9,17,1,8,1,9,16,47
Ta'Shia Phillips,WAS,C,10,54,10,0,54,7,13,0.538,0,0,,7,13,0.538,5,10,0.5,10,16,0,0,3,3,12,19
Sidney Spencer,NYL,G,16,113,16,0,113,17,34,0.5,4,12,0.333,13,22,0.591,2,2,1,4,13,5,0,0,2,10,40
Krystal Thomas,SEA,C,7,22,7,0,22,1,1,1,0,0,,1,1,1,0,0,,1,4,1,2,2,7,7,2
DeMya Walker,CON,F,10,80,10,0,80,8,19,0.421,0,0,,8,19,0.421,8,11,0.727,10,16,0,2,0,11,12,24
Kara Braxton,NYL,C-F,13,166,13,0,166,23,58,0.397,1,3,0.333,22,55,0.4,4,10,0.4,17,39,10,5,6,19,28,51
Jessica Breland,CON,F,4,6,4,0,6,1,2,0.5,0,0,,1,2,0.5,0,0,,0,0,0,0,1,0,0,2
Karima Christmas-Kelly,TUL,F-G,17,166,17,0,166,17,46,0.37,4,17,0.235,13,29,0.448,16,20,0.8,11,20,6,6,3,16,19,54
Ta'Shia Phillips,NYL,C,5,18,5,0,18,1,2,0.5,0,0,,1,2,0.5,1,2,0.5,1,3,1,0,0,0,6,3
Sidney Spencer,PHO,G,8,65,8,0,65,5,16,0.313,3,4,0.75,2,12,0.167,2,2,1,0,5,6,0,0,0,4,15
Krystal Thomas,PHO,C,8,98,8,0,98,9,16,0.563,0,0,,9,16,0.563,3,6,0.5,4,8,1,0,5,3,15,21
DeMya Walker,WAS,F,20,409,20,5,409,49,125,0.392,0,3,0,49,122,0.402,28,38,0.737,36,80,24,8,7,34,60,126
