Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Natalie Achonwa,IND,F,18,364,18,11,364,57,115,0.496,0,10,0,57,105,0.543,26,32,0.813,26,99,31,9,11,33,46,140
Jaylyn Agnew,ATL,F,12,71,12,0,71,4,15,0.267,3,13,0.231,1,2,0.5,4,5,0.8,0,5,3,0,0,5,7,15
Bella Alarie,DAL,C-F,22,309,22,3,309,24,66,0.364,1,13,0.077,23,53,0.434,10,12,0.833,23,63,11,14,18,11,35,59
Kayla Alexander,MIN,C,16,89,16,0,89,16,30,0.533,0,0,,16,30,0.533,5,8,0.625,9,15,3,2,3,6,14,37
Julie Allemand,IND,G,22,716,22,22,716,61,134,0.455,44,92,0.478,17,42,0.405,22,30,0.733,8,100,128,25,9,57,57,188
Lindsay Allen,LVA,G,21,284,21,21,284,28,66,0.424,6,17,0.353,22,49,0.449,8,10,0.8,6,23,51,7,1,16,20,70
Kristine Anigwe,LAS,F-C,17,197,17,1,197,32,53,0.604,0,0,,32,53,0.604,14,26,0.538,18,45,4,11,7,16,33,78
Ariel Atkins,WAS,G,22,682,22,22,682,110,251,0.438,44,107,0.411,66,144,0.458,62,70,0.886,18,64,53,40,4,42,58,326
Seimone Augustus*,LAS,G-F,21,332,21,0,332,54,110,0.491,12,22,0.545,42,88,0.477,4,6,0.667,3,37,25,12,2,8,20,124
Rachel Banham,MIN,G,20,339,20,1,339,48,104,0.462,25,53,0.472,23,51,0.451,16,20,0.8,2,25,47,9,2,20,40,137
Monique Billings,ATL,F,22,596,22,16,596,68,170,0.4,0,0,,68,170,0.4,51,67,0.761,58,187,27,24,18,42,62,187
Sue Bird,SEA,G,11,257,11,11,257,41,83,0.494,23,49,0.469,18,34,0.529,3,4,0.75,1,19,57,7,2,18,9,108
DeWanna Bonner,CON,F-G,22,732,22,22,732,148,351,0.422,27,107,0.252,121,244,0.496,111,124,0.895,34,172,65,37,12,52,47,434
Brittany Brewer,ATL,F,5,33,5,0,33,2,3,0.667,0,0,,2,3,0.667,0,0,,1,5,0,3,4,2,4,4
Kalani Brown,ATL,C,10,61,10,0,61,12,23,0.522,0,0,,12,23,0.522,6,10,0.6,3,12,0,1,1,5,10,30
Lexie Brown,MIN,G,17,374,17,13,374,38,111,0.342,14,52,0.269,24,59,0.407,19,24,0.792,3,33,41,31,0,24,26,109
Cierra Burdick,LVA,F,13,28,13,0,28,2,7,0.286,0,0,,2,7,0.286,0,0,,1,5,2,0,0,1,2,4
Kennedy Burke,IND,G-F,22,403,22,11,403,57,127,0.449,15,48,0.313,42,79,0.532,30,42,0.714,19,39,25,14,8,27,24,159
Jordin Canada,SEA,G,20,483,20,11,483,56,132,0.424,1,11,0.091,55,121,0.455,44,57,0.772,10,46,109,30,0,40,35,157
Emma Cannon,LVA,F,1,0,1,0,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0
Bridget Carleton,MIN,F,22,568,22,15,568,53,102,0.52,21,46,0.457,32,56,0.571,18,28,0.643,22,79,54,15,0,27,40,145
Chennedy Carter,ATL,G,16,406,16,16,406,106,224,0.473,12,32,0.375,94,192,0.49,55,67,0.821,8,36,55,14,5,43,57,279
Kaila Charles,CON,G-F,21,376,21,7,376,40,97,0.412,11,30,0.367,29,67,0.433,22,31,0.71,23,54,19,16,7,19,45,113
Karima Christmas-Kelly,MIN,F-G,2,25,2,0,25,1,7,0.143,0,3,0,1,4,0.25,7,8,0.875,1,6,1,3,1,4,2,9
Layshia Clarendon,NYL,G,19,496,19,19,496,74,159,0.465,15,44,0.341,59,115,0.513,55,63,0.873,6,48,74,18,0,64,55,218
Alysha Clark,SEA,F,22,633,22,22,633,82,147,0.558,35,67,0.522,47,80,0.588,20,25,0.8,19,93,59,33,11,19,38,219
Alaina Coates,WAS,C,20,197,20,0,197,18,34,0.529,0,0,,18,34,0.529,14,26,0.538,20,55,9,7,4,12,33,50
Nia Coffey,PHO,F,15,230,15,1,230,16,38,0.421,7,21,0.333,9,17,0.529,1,6,0.167,5,37,12,5,5,7,30,40
Napheesa Collier,MIN,F,22,752,22,22,752,136,260,0.523,20,49,0.408,116,211,0.55,63,76,0.829,61,199,73,40,28,60,60,355
Sydney Colson,CHI,G,17,110,17,0,110,10,22,0.455,3,9,0.333,7,13,0.538,7,8,0.875,1,7,14,6,0,14,13,30
Te'a Cooper,LAS,G,20,345,20,3,345,51,113,0.451,11,32,0.344,40,81,0.494,26,34,0.765,2,20,40,13,0,29,39,139
Kahleah Copper,CHI,G-F,22,688,22,22,688,132,266,0.496,21,61,0.344,111,205,0.541,42,57,0.737,21,120,47,21,5,54,52,327
Lauren Cox,IND,F,14,183,14,1,183,18,43,0.419,3,6,0.5,15,37,0.405,11,15,0.733,10,46,19,6,4,11,20,50
Sophie Cunningham,PHO,G,21,396,21,11,396,35,91,0.385,12,51,0.235,23,40,0.575,22,25,0.88,9,22,16,11,3,15,46,104
Crystal Dangerfield,MIN,G,21,629,21,19,629,124,263,0.471,34,102,0.333,90,161,0.559,59,64,0.922,5,41,75,18,1,54,31,341
Damiris Dantas,MIN,F,22,586,22,22,586,102,220,0.464,39,90,0.433,63,130,0.485,40,55,0.727,37,134,58,25,5,40,56,283
Kaela Davis,ATL,F,2,2,2,0,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0
Diamond DeShields,CHI,G,13,224,13,0,224,36,83,0.434,3,18,0.167,33,65,0.508,14,18,0.778,3,23,20,12,1,30,27,89
Blake Dietrick,ATL,G,22,463,22,4,463,49,104,0.471,26,58,0.448,23,46,0.5,5,8,0.625,8,36,75,18,3,40,42,129
Skylar Diggins-Smith,PHO,G,22,675,22,22,675,127,268,0.474,46,116,0.397,81,152,0.533,90,100,0.9,11,73,93,20,11,70,50,390
Stefanie Dolson,CHI,C,15,273,15,8,273,34,70,0.486,12,32,0.375,22,38,0.579,14,19,0.737,11,52,25,6,13,15,48,94
