Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Svetlana Abrosimova,SEA,F,34,686,34,1,686,97,234,0.415,38,101,0.376,59,133,0.444,25,44,0.568,24,104,69,40,3,61,72,257
Jessica Adair,MIN,C,1,14,1,0,14,1,1,1,0,0,,1,1,1,3,4,0.75,4,8,0,0,0,0,4,5
Matee Ajavon,WAS,G,34,497,34,0,497,66,191,0.346,9,49,0.184,57,142,0.401,58,75,0.773,16,53,47,38,2,52,60,199
Nicky Anosike,MIN,F-C,31,928,31,30,928,83,223,0.372,0,0,,83,223,0.372,119,154,0.773,82,212,60,62,32,66,93,285
Jayne Appel-Marinelli,SAS,C,28,306,28,0,306,38,71,0.535,1,3,0.333,37,68,0.544,19,34,0.559,21,71,13,7,5,19,40,96
Seimone Augustus*,MIN,G-F,25,832,25,25,832,176,410,0.429,36,107,0.336,140,303,0.462,34,51,0.667,9,81,47,17,7,35,33,422
Alison Bales,ATL,C,34,529,34,3,529,42,97,0.433,5,12,0.417,37,85,0.435,43,54,0.796,32,128,28,24,39,23,61,132
Mistie Bass,CHI,F,34,642,34,20,642,68,129,0.527,0,2,0,68,127,0.535,30,48,0.625,54,131,36,19,15,39,49,166
Ashley Battle,SAS,F,5,35,5,0,35,4,12,0.333,0,5,0,4,7,0.571,0,0,,4,9,1,0,0,3,5,8
Tully Bevilaqua,IND,G,34,659,34,27,659,46,120,0.383,26,77,0.338,20,43,0.465,14,24,0.583,18,73,54,48,4,40,64,132
Sue Bird,SEA,G,33,1005,33,33,1005,135,311,0.434,59,148,0.399,76,163,0.466,36,42,0.857,7,88,190,50,5,60,45,365
Abby Bishop,SEA,F,16,109,16,0,109,16,45,0.356,6,24,0.25,10,21,0.476,6,11,0.545,11,20,4,2,1,12,26,44
Chante Black,TUL,C,34,712,34,23,712,80,149,0.537,0,0,,80,149,0.537,17,49,0.347,85,222,22,18,54,43,72,177
Nikki Blue,NYL,G,15,77,15,0,77,6,21,0.286,1,6,0.167,5,15,0.333,5,7,0.714,1,6,13,4,0,9,12,18
DeWanna Bonner,PHO,F-G,32,813,32,4,813,132,284,0.465,19,53,0.358,113,231,0.489,100,119,0.84,67,196,40,22,37,41,58,383
Kiesha Brown,TUL,G,27,481,27,8,481,56,144,0.389,18,46,0.391,38,98,0.388,23,28,0.821,9,53,64,15,0,40,37,153
Rebekkah Brunson,MIN,F,30,915,30,30,915,117,273,0.429,0,1,0,117,272,0.43,106,160,0.663,120,310,23,36,29,49,91,340
Dominique Canty,CHI,G,34,884,34,34,884,105,244,0.43,2,11,0.182,103,233,0.442,95,137,0.693,34,87,115,33,7,76,89,307
Essence Carson,NYL,G,34,325,34,0,325,50,123,0.407,4,25,0.16,46,98,0.469,22,32,0.688,14,54,25,14,8,26,23,126
Swin Cash*,SEA,F,34,1046,34,34,1046,161,370,0.435,35,86,0.407,126,284,0.444,113,140,0.807,65,203,68,19,17,98,106,470
Iziane Castro Marques,ATL,F-G,34,984,34,34,984,220,496,0.444,46,156,0.295,174,340,0.512,89,135,0.659,14,59,89,28,2,95,73,575
Tamika Catchings*,IND,F,34,1068,34,34,1068,207,428,0.484,47,105,0.448,160,323,0.495,157,185,0.849,57,242,135,77,30,93,93,618
Tina Charles,CON,C,34,1054,34,34,1054,206,423,0.487,0,1,0,206,422,0.488,116,152,0.763,129,398,51,25,57,71,72,528
Joy Cheek,IND,F,7,34,7,0,34,5,12,0.417,1,3,0.333,4,9,0.444,4,4,1,0,3,1,0,0,5,7,15
Shameka Christon,CHI,G,10,213,10,9,213,28,78,0.359,14,35,0.4,14,43,0.326,15,16,0.938,3,24,24,3,2,9,23,85
Marissa Coleman,WAS,G-F,34,663,34,1,663,75,189,0.397,41,102,0.402,34,87,0.391,31,41,0.756,25,112,50,29,12,42,67,222
Monique Currie,WAS,F,34,891,34,34,891,146,335,0.436,37,83,0.446,109,252,0.433,150,171,0.877,43,163,55,49,14,89,120,479
Helen Darling,SAS,G,33,391,33,1,391,18,60,0.3,6,22,0.273,12,38,0.316,22,34,0.647,11,34,47,20,1,32,51,64
Jessica Davenport,IND,C,33,469,33,0,469,96,168,0.571,1,7,0.143,95,161,0.59,50,69,0.725,27,93,15,14,27,40,65,243
Erika de Souza,ATL,F-C,34,872,34,34,872,190,333,0.571,0,0,,190,333,0.571,41,75,0.547,96,283,30,27,40,62,109,421
Scholanda Dorrell,TUL,G,34,836,34,33,836,145,361,0.402,23,76,0.303,122,285,0.428,92,130,0.708,29,80,57,53,12,86,93,405
