Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Natalie Achonwa,IND,F,34,623,34,17,623,98,176,0.557,0,0,,98,176,0.557,45,59,0.763,37,127,25,14,17,31,76,241
Danielle Adams,CON,F-C,19,83,19,0,83,16,45,0.356,12,31,0.387,4,14,0.286,5,5,1,7,11,4,4,4,7,24,49
Matee Ajavon,ATL,G,31,250,31,2,250,22,76,0.289,0,4,0,22,72,0.306,31,39,0.795,9,38,30,11,0,28,31,75
Evelyn Akhator,DAL,F,15,61,15,0,61,4,16,0.25,0,0,,4,16,0.25,5,6,0.833,7,9,0,1,3,5,6,13
Kayla Alexander,SAS,C,34,522,34,10,522,96,165,0.582,0,0,,96,165,0.582,20,22,0.909,45,107,17,15,17,32,68,212
Lindsay Allen,NYL,G,28,376,28,0,376,23,62,0.371,0,13,0,23,49,0.469,7,10,0.7,10,42,62,16,1,19,24,53
Rebecca Allen,NYL,F-G,33,304,33,0,304,38,101,0.376,15,44,0.341,23,57,0.404,2,6,0.333,13,67,17,12,13,18,35,93
Ameryst Alston,NYL,G,2,3,2,0,3,1,2,0.5,0,0,,1,2,0.5,0,0,,1,2,1,0,0,1,0,2
Seimone Augustus*,MIN,G-F,32,886,32,32,886,148,295,0.502,19,44,0.432,129,251,0.514,33,38,0.868,13,94,127,18,3,45,32,348
Rachel Banham,CON,G,30,283,30,0,283,33,101,0.327,16,57,0.281,17,44,0.386,16,20,0.8,2,34,22,4,0,12,28,98
Alana Beard,LAS,G-F,34,1048,34,34,1048,96,193,0.497,6,19,0.316,90,174,0.517,37,46,0.804,21,113,76,71,17,45,93,235
Alex Bentley,CON,G,31,735,31,9,735,100,263,0.38,22,79,0.278,78,184,0.424,38,47,0.809,4,45,89,26,4,27,68,260
Sue Bird,SEA,G,30,901,30,30,901,117,274,0.427,59,150,0.393,58,124,0.468,24,31,0.774,7,60,199,36,3,62,38,317
Brittany Boyd,NYL,G,2,32,2,2,32,9,15,0.6,0,1,0,9,14,0.643,8,11,0.727,3,8,5,3,0,2,5,26
Jessica Breland,CHI,F,34,834,34,33,834,139,292,0.476,8,21,0.381,131,271,0.483,37,47,0.787,54,215,53,19,59,62,73,323
Rebekkah Brunson,MIN,F,30,807,30,30,807,109,243,0.449,23,66,0.348,86,177,0.486,64,90,0.711,51,201,44,33,13,48,69,305
Adut Bulgak,CHI,C,5,61,5,0,61,9,22,0.409,1,3,0.333,8,19,0.421,3,5,0.6,4,20,0,5,2,3,11,22
Emma Cannon,PHO,F,34,440,34,0,440,56,114,0.491,0,2,0,56,112,0.5,37,63,0.587,43,122,10,5,5,31,72,149
Essence Carson,LAS,G,24,464,24,14,464,42,104,0.404,9,36,0.25,33,68,0.485,21,24,0.875,11,40,29,15,8,18,29,114
Tina Charles,NYL,C,34,1095,34,34,1095,262,593,0.442,24,69,0.348,238,524,0.454,123,153,0.804,69,318,87,28,24,80,74,671
Saniya Chong,DAL,G,33,364,33,0,364,28,78,0.359,9,38,0.237,19,40,0.475,25,29,0.862,9,30,34,22,3,25,19,90
Karima Christmas-Kelly,DAL,F-G,34,1011,34,34,1011,100,263,0.38,26,89,0.292,74,174,0.425,126,148,0.851,58,143,75,41,7,56,99,352
Layshia Clarendon,ATL,G,34,1014,34,33,1014,137,362,0.378,11,61,0.18,126,301,0.419,80,91,0.879,30,128,226,32,2,90,97,365
Alysha Clark,SEA,F,33,934,33,33,934,106,202,0.525,22,67,0.328,84,135,0.622,38,51,0.745,33,138,54,24,4,33,80,272
Natasha Cloud,WAS,G,24,448,24,0,448,37,118,0.314,12,51,0.235,25,67,0.373,20,27,0.741,7,59,69,17,3,23,39,106
Nia Coffey,SAS,F,27,210,27,1,210,16,59,0.271,0,4,0,16,55,0.291,16,22,0.727,17,50,6,5,6,16,36,48
Marissa Coleman,IND,G-F,34,636,34,23,636,55,168,0.327,28,87,0.322,27,81,0.333,30,36,0.833,8,69,34,10,5,39,41,168
Nadia Colhado,IND,C,5,13,5,0,13,1,1,1,0,0,,1,1,1,0,0,,1,2,0,0,1,1,5,2
Sydney Colson,SAS,G,28,326,28,4,326,29,88,0.33,2,10,0.2,27,78,0.346,22,32,0.688,3,15,55,14,2,27,36,82
Kahleah Copper,CHI,G-F,34,485,34,10,485,87,187,0.465,10,34,0.294,77,153,0.503,44,53,0.83,11,66,13,11,2,28,55,228
Damiris Dantas,ATL,F,34,614,34,2,614,102,260,0.392,26,98,0.265,76,162,0.469,33,43,0.767,33,121,23,17,19,28,79,263
Kaela Davis,DAL,F,33,511,33,0,511,68,175,0.389,15,35,0.429,53,140,0.379,49,65,0.754,10,46,33,16,3,50,56,200
Elena Delle Donne,WAS,F-G,25,758,25,25,758,159,322,0.494,33,85,0.388,126,237,0.532,142,149,0.953,39,169,41,21,36,38,49,493
Erika de Souza,SAS,F-C,27,338,27,21,338,45,94,0.479,0,0,,45,94,0.479,6,6,1,28,70,19,8,10,23,34,96
Maimouna Diarra,LAS,C,10,20,10,0,20,1,5,0.2,0,0,,1,5,0.2,1,2,0.5,4,11,1,2,0,3,5,3
Skylar Diggins-Smith,DAL,G,34,1162,34,34,1162,192,455,0.422,49,140,0.35,143,315,0.454,195,218,0.894,23,118,198,45,28,94,80,628
Stefanie Dolson,CHI,C,33,968,33,33,968,194,346,0.561,31,71,0.437,163,275,0.593,60,69,0.87,42,193,85,18,43,81,120,479
Candice Dupree,IND,F,33,1049,33,33,1049,214,433,0.494,0,2,0,214,431,0.497,67,76,0.882,35,191,54,31,15,45,62,495
Makayla Epps,CHI,G,17,64,17,0,64,3,18,0.167,0,5,0,3,13,0.231,5,9,0.556,2,3,6,2,0,5,6,11
Temi Fagbenle,MIN,C,21,89,21,0,89,9,18,0.5,0,0,,9,18,0.5,7,9,0.778,5,21,1,3,4,8,13,25
Feyonda Fitzgerald,CON,G,2,8,2,0,8,0,2,0,0,0,,0,2,0,0,0,,2,4,1,0,0,1,0,0
Sylvia Fowles,MIN,C,34,1048,34,34,1048,254,388,0.655,0,0,,254,388,0.655,136,177,0.768,123,354,52,44,67,83,93,644
Cayla George,PHO,C-F,32,381,32,0,381,41,109,0.376,13,46,0.283,28,63,0.444,9,14,0.643,11,85,15,9,12,15,62,104
Bashaara Graves,CHI,F,10,92,10,0,92,11,22,0.5,0,0,,11,22,0.5,4,7,0.571,6,23,5,2,1,6,8,26
Allisha Gray,DAL,G,34,924,34,34,924,150,394,0.381,35,117,0.299,115,277,0.415,106,132,0.803,55,134,45,52,20,42,71,441
Chelsea Gray,LAS,G,34,1125,34,34,1125,184,363,0.507,53,110,0.482,131,253,0.518,81,98,0.827,21,113,151,36,8,65,74,502
Brittney Griner,PHO,C,26,820,26,26,820,207,359,0.577,0,0,,207,359,0.577,155,191,0.812,45,198,49,18,65,64,88,569
Sandrine Gruda,LAS,F-C,7,28,7,0,28,4,11,0.364,0,0,,4,11,0.364,0,0,,1,4,0,0,0,5,4,8
Jazmon Gwathmey,IND,G,28,478,28,7,478,62,172,0.36,13,55,0.236,49,117,0.419,36,48,0.75,16,55,21,14,22,36,78,173
Dearica Hamby,SAS,F,34,686,34,3,686,100,219,0.457,3,8,0.375,97,211,0.46,62,102,0.608,50,144,34,29,9,46,72,265
Keisha Hampton,CHI,F,19,148,19,1,148,24,58,0.414,15,36,0.417,9,22,0.409,6,6,1,6,12,6,5,3,5,22,69
Jennifer Hamson,IND,C,12,86,12,0,86,10,18,0.556,0,0,,10,18,0.556,6,7,0.857,6,25,2,1,11,5,13,26
Amber Harris,CHI,F,27,159,27,0,159,19,48,0.396,0,11,0,19,37,0.514,5,8,0.625,12,42,5,3,9,7,14,43
Isabelle Harrison,SAS,F,34,906,34,33,906,163,326,0.5,1,2,0.5,162,324,0.5,61,96,0.635,72,216,48,28,25,68,103,388
Bria Hartley,NYL,G,34,727,34,24,727,99,238,0.416,38,110,0.345,61,128,0.477,29,39,0.744,10,71,70,19,5,49,55,265
Tianna Hawkins,WAS,F,33,547,33,1,547,88,187,0.471,12,46,0.261,76,141,0.539,41,43,0.953,43,138,11,18,8,25,78,229
Tiffany Hayes,ATL,G,33,989,33,33,989,166,381,0.436,48,129,0.372,118,252,0.468,158,185,0.854,31,127,80,41,8,63,102,538
Aneika Henry-Morello,ATL,F-C,6,31,6,0,31,6,7,0.857,0,0,,6,7,0.857,0,0,,1,6,2,2,0,2,7,12
Allison Hightower,WAS,G,11,145,11,0,145,21,58,0.362,3,15,0.2,18,43,0.419,7,8,0.875,4,14,12,8,0,4,8,52
Tayler Hill,WAS,G,18,462,18,16,462,69,191,0.361,27,89,0.303,42,102,0.412,75,80,0.938,5,34,47,16,1,26,30,240
Rachel Hollivay,ATL,C,7,34,7,1,34,4,6,0.667,0,0,,4,6,0.667,1,2,0.5,3,9,0,0,2,1,7,9
Bria Holmes,ATL,G,32,711,32,13,711,91,241,0.378,10,53,0.189,81,188,0.431,57,89,0.64,32,92,56,23,7,35,45,249
Sequoia Holmes,SAS,G,27,306,27,3,306,33,96,0.344,14,48,0.292,19,48,0.396,8,13,0.615,13,25,24,13,6,12,25,88
Natasha Howard,MIN,F,34,397,34,0,397,61,126,0.484,3,14,0.214,58,112,0.518,22,30,0.733,31,81,25,18,21,26,56,147
Ify Ibekwe,LAS,F,6,23,6,0,23,1,9,0.111,0,2,0,1,7,0.143,4,6,0.667,2,5,0,1,0,2,5,6
Tiffany Jackson-Jones,LAS,F,26,149,26,1,149,12,26,0.462,0,1,0,12,25,0.48,5,8,0.625,8,31,3,2,3,12,22,29
Briann January,IND,G,25,657,25,24,657,81,205,0.395,18,57,0.316,63,148,0.426,58,71,0.817,12,37,98,23,4,53,71,238
Moriah Jefferson,SAS,G,21,514,21,9,514,81,155,0.523,9,20,0.45,72,135,0.533,20,27,0.741,6,37,92,33,2,43,35,191
Glory Johnson,DAL,F,33,1022,33,33,1022,187,403,0.464,21,67,0.313,166,336,0.494,98,128,0.766,79,300,53,41,13,73,97,493
Shenise Johnson,IND,G,14,348,14,13,348,55,127,0.433,10,30,0.333,45,97,0.464,38,40,0.95,13,48,35,21,4,18,27,158
Alexis Jones,MIN,G,29,211,29,0,211,26,76,0.342,11,29,0.379,15,47,0.319,12,14,0.857,4,22,23,8,0,21,23,75
Brionna Jones,CON,F,23,147,23,0,147,23,40,0.575,0,0,,23,40,0.575,20,24,0.833,16,38,3,9,2,9,28,66
Jonquel Jones,CON,C,34,970,34,34,970,181,339,0.534,25,56,0.446,156,283,0.551,135,165,0.818,123,403,50,29,50,57,115,522
Brianna Kiesel,ATL,G,9,75,9,0,75,3,15,0.2,1,9,0.111,2,6,0.333,7,10,0.7,0,4,9,3,1,1,9,14
Lynetta Kizer,CON,F,20,238,20,1,238,48,100,0.48,0,1,0,48,99,0.485,23,30,0.767,22,57,6,11,7,10,37,119
Crystal Langhorne,SEA,F-C,34,967,34,34,967,180,278,0.647,1,2,0.5,179,276,0.649,61,83,0.735,43,206,51,19,12,57,69,422
Erlana Larkins,IND,F,34,640,34,17,640,68,117,0.581,0,0,,68,117,0.581,31,34,0.912,64,142,38,18,10,42,71,167
Ivory Latta,WAS,G,34,579,34,1,579,87,249,0.349,44,134,0.328,43,115,0.374,54,62,0.871,7,28,58,15,1,30,41,272
Jantel Lavender,LAS,F,32,553,32,0,553,104,213,0.488,5,16,0.313,99,197,0.503,22,26,0.846,33,97,29,9,5,40,40,235
Breanna Lewis,DAL,C,13,52,13,0,52,2,12,0.167,0,0,,2,12,0.167,3,4,0.75,2,9,2,0,0,7,16,7
Camille Smith,PHO,F,34,862,34,34,862,98,234,0.419,13,58,0.224,85,176,0.483,34,56,0.607,45,129,49,31,15,55,98,243
Jewell Loyd,SEA,G,34,1059,34,34,1059,208,483,0.431,54,140,0.386,154,343,0.449,132,153,0.863,32,108,117,43,12,85,62,602
Sancho Lyttle,ATL,F,29,820,29,28,820,81,186,0.435,2,8,0.25,79,178,0.444,22,29,0.759,49,207,46,45,18,38,82,186
Kayla McBride,SAS,G,30,995,30,29,995,144,378,0.381,49,158,0.31,95,220,0.432,124,134,0.925,14,124,77,34,5,58,41,461
Erica McCall,IND,F,30,322,30,1,322,41,101,0.406,1,3,0.333,40,98,0.408,15,22,0.682,20,69,5,4,9,20,37,98
Emma Meesseman,WAS,F,23,653,23,21,653,135,280,0.482,14,44,0.318,121,236,0.513,40,46,0.87,40,132,64,22,35,40,71,324
Leilani Mitchell,PHO,G,34,726,34,7,726,81,208,0.389,36,100,0.36,45,108,0.417,75,91,0.824,13,80,121,32,10,53,46,273
Tiffany Mitchell,IND,G,27,671,27,9,671,83,238,0.349,17,69,0.246,66,169,0.391,94,102,0.922,16,86,39,31,5,40,60,277
Alex Montgomery,SAS,G-F,34,800,34,31,800,81,219,0.37,23,75,0.307,58,144,0.403,19,23,0.826,39,194,71,21,10,47,81,204
Lanay Montgomery,SEA,C,7,28,7,0,28,3,7,0.429,0,0,,3,7,0.429,0,0,,0,5,0,1,4,2,5,6
Renee Montgomery,MIN,G,34,743,34,12,743,92,217,0.424,39,109,0.358,53,108,0.491,48,57,0.842,15,54,117,24,2,58,47,271
Maya Moore,MIN,F,34,1063,34,34,1063,207,468,0.442,65,158,0.411,142,310,0.458,109,127,0.858,51,171,119,64,14,61,80,588
Darxia Morris,ATL,G,5,21,5,0,21,2,6,0.333,1,1,1,1,5,0.2,0,0,,0,3,1,0,0,6,2,5
Kaleena Mosqueda-Lewis,SEA,F,18,199,18,1,199,31,68,0.456,10,34,0.294,21,34,0.618,11,11,1,4,21,9,4,1,15,23,83
Nneka Ogwumike,LAS,F,34,1050,34,34,1050,244,435,0.561,18,53,0.34,226,382,0.592,134,154,0.87,61,263,72,63,18,52,99,640
Courtney Paris,DAL,C,20,273,20,8,273,38,68,0.559,0,0,,38,68,0.559,8,16,0.5,33,74,14,7,11,19,54,84
Candace Parker,LAS,F-C,33,1007,33,33,1007,208,435,0.478,45,127,0.354,163,308,0.529,96,127,0.756,40,277,141,48,55,89,77,557
Cheyenne Parker-Tyus,CHI,F,23,286,23,0,286,32,69,0.464,0,3,0,32,66,0.485,23,36,0.639,31,78,13,8,15,21,38,87
Kayla Pedersen,CON,F,26,266,26,0,266,13,35,0.371,0,1,0,13,34,0.382,12,17,0.706,23,59,15,7,2,10,39,38
Jia Perkins,MIN,G,34,554,34,2,554,55,149,0.369,12,38,0.316,43,111,0.387,20,24,0.833,11,68,47,37,1,28,42,142
Alexis Peterson,SEA,G,17,121,17,0,121,13,44,0.295,3,12,0.25,10,32,0.313,6,6,1,3,21,14,5,0,13,18,35
Plenette Pierson,MIN,F,34,465,34,4,465,70,164,0.427,19,56,0.339,51,108,0.472,19,24,0.792,15,76,49,14,5,35,49,178
