Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Natalie Achonwa,IND,F,24,195,24,0,195,36,66,0.545,0,0,,36,66,0.545,14,20,0.7,16,47,6,10,1,12,27,86
Matee Ajavon,ATL,G,32,338,32,2,338,36,118,0.305,3,13,0.231,33,105,0.314,30,40,0.75,19,52,38,12,8,33,52,105
Kayla Alexander,SAS,C,25,489,25,0,489,77,141,0.546,0,0,,77,141,0.546,46,61,0.754,47,113,13,11,13,28,55,200
Rebecca Allen,NYL,F-G,21,280,21,6,280,45,98,0.459,17,30,0.567,28,68,0.412,13,15,0.867,12,35,11,9,11,13,35,120
Ameryst Alston,NYL,G,1,0,1,0,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0
Jayne Appel-Marinelli,SAS,C,34,786,34,34,786,51,119,0.429,0,4,0,51,115,0.443,36,49,0.735,41,184,72,30,35,54,113,138
Seimone Augustus*,MIN,G-F,29,765,29,29,765,138,300,0.46,13,39,0.333,125,261,0.479,37,46,0.804,14,84,71,15,11,55,43,326
Rachel Banham,CON,G,15,164,15,0,164,20,49,0.408,13,37,0.351,7,12,0.583,2,3,0.667,1,11,14,8,1,8,19,55
Mistie Bass,PHO,F,33,434,33,1,434,37,80,0.463,0,0,,37,80,0.463,22,27,0.815,28,64,25,16,11,20,49,96
Vicki Baugh,SAS,F-C,11,148,11,0,148,19,33,0.576,0,0,,19,33,0.576,6,9,0.667,16,41,3,4,3,14,25,44
Alana Beard,LAS,G-F,34,997,34,34,997,100,214,0.467,13,38,0.342,87,176,0.494,27,39,0.692,31,111,73,58,20,43,96,240
Evgeniya Belyakova,LAS,F,21,238,21,0,238,16,54,0.296,5,28,0.179,11,26,0.423,7,16,0.438,2,15,15,13,1,8,24,44
Alex Bentley,CON,G,34,979,34,34,979,169,439,0.385,48,168,0.286,121,271,0.446,51,65,0.785,10,63,85,30,3,49,84,437
Tiffany Bias,DAL,G,10,64,10,0,64,8,23,0.348,3,11,0.273,5,12,0.417,10,12,0.833,1,5,6,2,0,11,5,29
Sue Bird,SEA,G,34,1076,34,34,1076,160,356,0.449,72,162,0.444,88,194,0.454,44,56,0.786,6,97,196,34,6,84,46,436
Abby Bishop,SEA,F,13,67,13,0,67,4,11,0.364,1,6,0.167,3,5,0.6,3,4,0.75,0,6,8,1,1,1,17,12
DeWanna Bonner,PHO,F-G,34,1064,34,24,1064,154,363,0.424,50,152,0.329,104,211,0.493,134,168,0.798,42,182,83,44,21,56,55,492
Brittany Boyd,NYL,G,33,651,33,9,651,75,208,0.361,6,36,0.167,69,172,0.401,59,81,0.728,17,83,119,52,3,65,82,215
Imani McGee-Stafford,CHI,C,31,587,31,16,587,87,157,0.554,0,0,,87,157,0.554,33,50,0.66,54,175,18,19,42,28,94,207
Jessica Breland,CHI,F,34,585,34,16,585,87,176,0.494,0,0,,87,176,0.494,31,39,0.795,44,151,24,17,37,36,75,205
Rebekkah Brunson,MIN,F,33,812,33,33,812,92,193,0.477,0,1,0,92,192,0.479,60,70,0.857,73,240,58,30,9,28,84,244
Adut Bulgak,NYL,C,7,23,7,0,23,5,11,0.455,1,2,0.5,4,9,0.444,3,4,0.75,3,9,0,0,0,1,3,14
Cierra Burdick,ATL,F,8,29,8,0,29,1,8,0.125,0,0,,1,8,0.125,1,2,0.5,3,4,0,0,0,2,6,3
Essence Carson,LAS,G,34,791,34,34,791,102,227,0.449,23,64,0.359,79,163,0.485,49,55,0.891,12,68,52,37,8,42,46,276
Swin Cash*,NYL,F,31,604,31,23,604,61,161,0.379,1,8,0.125,60,153,0.392,41,60,0.683,38,105,43,23,14,41,54,164
Tamika Catchings*,IND,F,34,844,34,34,844,146,337,0.433,35,100,0.35,111,237,0.468,106,123,0.862,40,163,66,62,10,42,70,433
Tina Charles,NYL,C,32,1077,32,32,1077,273,622,0.439,17,49,0.347,256,573,0.447,125,154,0.812,74,317,121,27,25,63,48,688
Karima Christmas-Kelly,DAL,F-G,34,1075,34,34,1075,128,320,0.4,38,120,0.317,90,200,0.45,129,162,0.796,82,200,71,41,23,51,93,423
Layshia Clarendon,ATL,G,34,959,34,32,959,124,266,0.466,18,52,0.346,106,214,0.495,88,115,0.765,43,147,118,25,3,75,79,354
Alysha Clark,SEA,F,33,911,33,32,911,105,217,0.484,36,93,0.387,69,124,0.556,50,59,0.847,40,121,64,24,2,44,87,296
Natasha Cloud,WAS,G,31,753,31,28,753,56,161,0.348,23,68,0.338,33,93,0.355,43,57,0.754,5,94,118,24,3,43,65,178
Marissa Coleman,IND,G-F,32,781,32,21,781,85,246,0.346,33,123,0.268,52,123,0.423,64,85,0.753,23,105,63,29,9,56,67,267
Sydney Colson,SAS,G,34,573,34,0,573,59,137,0.431,5,26,0.192,54,111,0.486,49,59,0.831,14,55,87,38,1,51,62,172
Kahleah Copper,WAS,G-F,30,487,30,3,487,65,156,0.417,14,30,0.467,51,126,0.405,43,63,0.683,13,92,23,15,2,33,54,187
Carla Cortijo,ATL,G,27,294,27,1,294,45,127,0.354,13,45,0.289,32,82,0.39,25,32,0.781,4,42,43,8,1,28,32,128
Anna Cruz,MIN,G,6,60,6,0,60,5,11,0.455,1,1,1,4,10,0.4,6,6,1,1,6,12,2,0,2,8,17
Monique Currie,SAS,F,34,868,34,34,868,125,324,0.386,25,78,0.321,100,246,0.407,90,98,0.918,36,148,73,27,13,61,89,365
Ana Dabovic,LAS,G,22,236,22,0,236,20,54,0.37,3,19,0.158,17,35,0.486,22,29,0.759,6,17,29,13,0,19,37,65
Elena Delle Donne,CHI,F-G,28,927,28,28,927,214,441,0.485,43,101,0.426,171,340,0.503,130,139,0.935,48,197,53,16,43,35,64,601
Erika de Souza,CHI,F-C,31,516,31,18,516,77,149,0.517,0,0,,77,149,0.517,27,36,0.75,61,161,20,17,22,22,63,181
Skylar Diggins-Smith,DAL,G,27,765,27,25,765,113,290,0.39,23,77,0.299,90,213,0.423,104,132,0.788,12,51,91,29,8,63,53,353
Zoi Dimitrakou,WAS,F,2,11,2,0,11,1,3,0.333,1,2,0.5,0,1,0,0,0,,0,1,1,0,0,1,3,3
Stefanie Dolson,WAS,C,34,765,34,31,765,119,247,0.482,9,30,0.3,110,217,0.507,70,83,0.843,48,159,38,13,32,39,88,317
Clarissa Dos Santos,CHI,C,20,187,20,0,187,20,59,0.339,0,1,0,20,58,0.345,17,20,0.85,19,44,9,5,4,10,31,57
Jelena Dubljevic,LAS,F,15,79,15,0,79,9,22,0.409,1,3,0.333,8,19,0.421,3,3,1,2,13,7,1,1,7,10,22
Candice Dupree,PHO,F,32,930,32,32,930,152,281,0.541,0,1,0,152,280,0.543,57,72,0.792,39,171,61,26,5,34,58,361
Frida Eldebrink,SAS,G,8,44,8,0,44,1,8,0.125,0,6,0,1,2,0.5,1,2,0.5,1,3,7,1,0,4,2,3
Kelly Faris,CON,G,31,317,31,0,317,21,53,0.396,5,20,0.25,16,33,0.485,14,15,0.933,12,38,22,22,4,29,45,61
Jamierra Faulkner,CHI,G,34,655,34,14,655,102,240,0.425,22,66,0.333,80,174,0.46,40,52,0.769,10,50,156,36,4,70,60,266
Nirra Fields,PHO,G,4,17,4,0,17,1,7,0.143,0,1,0,1,6,0.167,1,2,0.5,0,0,0,0,0,2,2,3
Sylvia Fowles,MIN,C,34,969,34,34,969,182,306,0.595,0,0,,182,306,0.595,109,152,0.717,84,290,42,45,61,63,101,473
Bashaara Graves,MIN,F,12,41,12,0,41,2,7,0.286,0,0,,2,7,0.286,0,0,,3,4,2,0,0,3,4,4
Chelsea Gray,LAS,G,33,540,33,1,540,71,157,0.452,14,46,0.304,57,111,0.514,39,50,0.78,8,58,71,16,4,40,38,195
Reshanda Gray,ATL,F,28,269,28,5,269,38,73,0.521,0,1,0,38,72,0.528,20,36,0.556,24,71,4,4,4,18,63,96
Brittney Griner,PHO,C,34,992,34,34,992,178,325,0.548,0,0,,178,325,0.548,138,166,0.831,47,222,35,13,107,70,124,494
Sandrine Gruda,LAS,F-C,7,37,7,0,37,3,9,0.333,0,0,,3,9,0.333,1,1,1,2,4,2,1,1,1,6,7
Jazmon Gwathmey,SAS,G,22,351,22,10,351,27,78,0.346,9,27,0.333,18,51,0.353,10,13,0.769,9,38,16,8,8,11,37,73
Ruth Hamblin,DAL,C,20,130,20,0,130,8,32,0.25,0,0,,8,32,0.25,5,7,0.714,9,29,4,2,9,4,13,21
Dearica Hamby,SAS,F,25,633,25,25,633,81,192,0.422,2,14,0.143,79,178,0.444,60,83,0.723,36,127,25,13,12,41,58,224
Keisha Hampton,MIN,F,27,183,27,0,183,19,57,0.333,12,36,0.333,7,21,0.333,20,23,0.87,5,10,10,8,3,10,24,70
Alex Harden,PHO,G,28,210,28,1,210,18,40,0.45,3,12,0.25,15,28,0.536,1,2,0.5,10,22,13,12,4,9,20,40
Isabelle Harrison,PHO,F,26,194,26,1,194,32,61,0.525,0,0,,32,61,0.525,17,25,0.68,17,47,1,11,2,18,36,81
Bria Hartley,WAS,G,24,406,24,5,406,50,133,0.376,21,58,0.362,29,75,0.387,36,45,0.8,9,47,54,10,0,35,44,157
Tianna Hawkins,WAS,F,24,252,24,0,252,42,85,0.494,11,22,0.5,31,63,0.492,18,21,0.857,24,59,10,5,4,23,52,113
Tiffany Hayes,ATL,G,33,1016,33,33,1016,153,347,0.441,32,117,0.274,121,230,0.526,156,194,0.804,33,112,78,40,8,59,94,494
Aneika Henry-Morello,CON,F-C,10,50,10,2,50,5,13,0.385,0,0,,5,13,0.385,2,5,0.4,4,14,2,1,1,6,8,12
Tayler Hill,WAS,G,32,937,32,32,937,139,399,0.348,60,171,0.351,79,228,0.346,155,187,0.829,13,84,93,35,4,40,66,493
Rachel Hollivay,ATL,C,32,284,32,1,284,12,38,0.316,0,0,,12,38,0.316,15,32,0.469,20,66,4,3,13,11,51,39
Bria Holmes,ATL,G,33,702,33,10,702,91,209,0.435,17,62,0.274,74,147,0.503,48,62,0.774,24,85,41,30,5,39,26,247
Jordan Hooper,DAL,F,32,291,32,1,291,42,112,0.375,28,82,0.341,14,30,0.467,7,8,0.875,8,37,5,6,2,16,31,119
