Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Farhiya Abdi,LAS,F,17,142,17,0,142,19,44,0.432,1,7,0.143,18,37,0.486,3,3,1,3,9,5,1,0,6,15,42
Danielle Adams,SAS,F-C,34,700,34,14,700,135,332,0.407,39,127,0.307,96,205,0.468,63,79,0.797,42,141,32,22,24,43,102,372
Matee Ajavon,ATL,G,24,220,24,1,220,15,54,0.278,1,9,0.111,14,45,0.311,21,29,0.724,10,18,16,11,1,22,29,52
Kayla Alexander,SAS,C,33,298,33,0,298,33,76,0.434,0,0,,33,76,0.434,26,31,0.839,27,66,6,4,10,22,39,92
Jayne Appel-Marinelli,SAS,C,34,843,34,34,843,70,130,0.538,1,1,1,69,129,0.535,26,43,0.605,66,270,73,16,30,47,95,167
Seimone Augustus*,MIN,G-F,24,749,24,24,749,170,333,0.511,12,36,0.333,158,297,0.532,44,52,0.846,13,87,58,10,2,39,23,396
Mistie Bass,PHO,F,34,493,34,0,493,58,114,0.509,0,0,,58,114,0.509,32,48,0.667,41,110,18,16,13,24,52,148
Vicki Baugh,TUL,F-C,33,266,33,0,266,33,56,0.589,0,0,,33,56,0.589,16,22,0.727,36,95,5,11,7,16,55,82
Alana Beard,LAS,G-F,33,913,33,33,913,119,257,0.463,8,28,0.286,111,229,0.485,35,47,0.745,19,86,84,37,15,59,86,281
Alex Bentley,CON,G,34,872,34,30,872,174,402,0.433,31,96,0.323,143,306,0.467,37,49,0.755,7,58,126,44,3,68,91,416
Tiffany Bias,PHO,G,17,68,17,0,68,7,18,0.389,2,6,0.333,5,12,0.417,2,6,0.333,0,3,6,5,0,12,12,18
Sue Bird,SEA,G,33,963,33,33,963,129,334,0.386,39,113,0.345,90,221,0.407,54,65,0.831,6,72,133,26,1,75,32,351
Kelsey Bone,CON,C,34,793,34,26,793,137,304,0.451,0,3,0,137,301,0.455,43,65,0.662,57,181,46,22,16,67,103,317
DeWanna Bonner,PHO,F-G,34,994,34,34,994,129,281,0.459,24,86,0.279,105,195,0.538,71,91,0.78,35,139,79,49,15,47,43,353
Gennifer Brandon,CHI,F,16,122,16,2,122,11,33,0.333,0,0,,11,33,0.333,6,13,0.462,11,41,3,3,7,10,6,28
Kara Braxton,NYL,C-F,4,31,4,0,31,4,8,0.5,0,0,,4,8,0.5,2,2,1,1,4,3,1,1,4,1,10
Jessica Breland,CHI,F,32,849,32,32,849,135,293,0.461,0,3,0,135,290,0.466,41,54,0.759,63,219,61,29,58,70,90,311
Rebekkah Brunson,MIN,F,11,303,11,11,303,32,81,0.395,0,0,,32,81,0.395,15,21,0.714,27,90,17,3,8,10,20,79
Heather Butler,SAS,G,11,38,11,0,38,1,9,0.111,1,6,0.167,0,3,0,3,4,0.75,1,3,3,0,0,5,7,6
Kelley Cain,CON,C,8,45,8,0,45,4,16,0.25,0,0,,4,16,0.25,3,4,0.75,5,12,1,2,4,3,9,11
Essence Carson,NYL,G,26,365,26,11,365,35,99,0.354,7,24,0.292,28,75,0.373,10,12,0.833,9,43,23,9,4,26,23,87
Sydney Carter,IND,G,23,287,23,0,287,23,80,0.288,4,24,0.167,19,56,0.339,23,31,0.742,6,21,30,8,3,33,21,73
Tamika Catchings*,IND,F,16,430,16,16,430,90,202,0.446,14,38,0.368,76,164,0.463,64,81,0.79,21,102,30,27,13,33,30,258
Tina Charles,NYL,C,34,1119,34,34,1119,236,511,0.462,0,0,,236,511,0.462,118,157,0.752,89,320,74,44,30,77,57,590
Karima Christmas-Kelly,IND,F-G,34,736,34,3,736,69,201,0.343,27,70,0.386,42,131,0.321,71,94,0.755,47,121,29,30,9,25,70,236
Shameka Christon,SAS,G,31,338,31,0,338,38,107,0.355,25,81,0.309,13,26,0.5,12,15,0.8,9,40,6,7,4,8,33,113
Layshia Clarendon,IND,G,29,398,29,3,398,49,122,0.402,6,19,0.316,43,103,0.417,17,24,0.708,12,42,34,11,0,28,33,121
Alysha Clark,SEA,F,34,561,34,22,561,56,125,0.448,14,57,0.246,42,68,0.618,16,23,0.696,26,73,20,16,10,24,64,142
Courtney Clements,CHI,G,33,376,33,1,376,36,99,0.364,4,23,0.174,32,76,0.421,12,12,1,14,55,22,12,2,13,32,88
Marissa Coleman,IND,G-F,34,815,34,32,815,106,271,0.391,43,113,0.381,63,158,0.399,49,60,0.817,28,112,37,27,11,40,68,304
Nadia Colhado,ATL,C,16,127,16,0,127,21,42,0.5,0,0,,21,42,0.5,2,7,0.286,4,29,1,5,6,8,23,44
Anna Cruz,NYL,G,34,922,34,34,922,109,236,0.462,17,49,0.347,92,187,0.492,27,39,0.692,14,118,121,44,9,72,61,262
Monique Currie,WAS,F,34,804,34,28,804,103,262,0.393,19,83,0.229,84,179,0.469,111,140,0.793,29,157,52,36,5,49,90,336
Damiris Dantas,MIN,F,30,655,30,23,655,71,139,0.511,1,1,1,70,138,0.507,38,50,0.76,46,152,36,15,11,24,62,181
Elena Delle Donne,CHI,F-G,16,408,16,9,408,91,212,0.429,20,55,0.364,71,157,0.452,84,90,0.933,22,64,18,9,24,12,22,286
Erika de Souza,ATL,F-C,33,986,33,33,986,192,352,0.545,0,0,,192,352,0.545,72,102,0.706,97,286,39,37,47,58,93,456
