Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Svetlana Abrosimova,MIN,F,22,462,22,11,462,49,139,0.353,20,53,0.377,29,86,0.337,28,46,0.609,17,74,45,30,2,43,42,146
Chantelle Anderson,SAC,C,30,231,30,0,231,25,64,0.391,0,0,,25,64,0.391,27,37,0.73,14,34,5,3,6,25,46,77
Mery Andrade,CHA,F,12,65,12,0,65,3,7,0.429,0,1,0,3,6,0.5,3,3,1,1,4,7,0,1,3,12,9
Elena Baranova,NYL,F,34,1048,34,33,1048,146,315,0.463,53,115,0.461,93,200,0.465,49,53,0.925,33,246,67,37,58,80,88,394
Adia Barnes,SEA,F,34,402,34,2,402,21,69,0.304,3,6,0.5,18,63,0.286,22,31,0.71,33,63,31,23,2,24,38,67
Alana Beard,WAS,G-F,34,1025,34,34,1025,159,380,0.418,21,56,0.375,138,324,0.426,107,149,0.718,28,143,91,69,34,80,98,446
Lucienne Berthieu,HOU,F-C,16,134,16,0,134,12,34,0.353,0,0,,12,34,0.353,13,18,0.722,12,27,4,6,2,9,28,37
Tully Bevilaqua,SEA,G,34,358,34,0,358,24,60,0.4,11,26,0.423,13,34,0.382,20,29,0.69,6,26,29,38,2,26,48,79
Agnieszka Bibrzycka,SAS,G-F,24,465,24,9,465,55,151,0.364,26,84,0.31,29,67,0.433,23,26,0.885,5,28,40,21,7,32,38,159
Sue Bird,SEA,G,34,1136,34,34,1136,151,326,0.463,64,146,0.438,87,180,0.483,73,85,0.859,22,106,184,51,5,87,48,439
Tera Bjorklund,CHA,C,4,13,4,0,13,1,3,0.333,0,0,,1,3,0.333,0,0,,0,0,0,0,0,1,1,2
Debbie Black,CON,G,31,347,31,4,347,26,56,0.464,0,1,0,26,55,0.473,3,4,0.75,13,36,47,19,0,15,35,55
Octavia Blue,HOU,F,13,155,13,3,155,16,42,0.381,0,4,0,16,38,0.421,12,13,0.923,12,21,5,1,0,7,10,44
Ruthie Bolton,SAC,G,34,469,34,4,469,57,154,0.37,32,79,0.405,25,75,0.333,14,19,0.737,17,49,31,23,0,15,45,160
Coretta Brown,IND,G,26,398,26,0,398,37,108,0.343,20,56,0.357,17,52,0.327,10,16,0.625,10,34,41,7,1,31,31,104
Kiesha Brown,WAS,G,26,371,26,0,371,35,88,0.398,13,28,0.464,22,60,0.367,21,24,0.875,9,50,42,13,2,33,21,104
Jessica Brungo,CON,F,33,314,33,0,314,18,59,0.305,10,38,0.263,8,21,0.381,4,5,0.8,10,37,27,4,4,12,21,50
Rebekkah Brunson,SAC,F,34,494,34,1,494,59,140,0.421,0,0,,59,140,0.421,33,46,0.717,42,122,19,23,13,29,48,151
