Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Mwadi Mabika,LAS,G,21,325,21,1,325,53,136,0.39,7,38,0.184,46,98,0.469,13,24,0.542,22,54,22,23,6,27,48,126
Rebecca Lobo*,NYL,C,28,939,28,28,939,133,354,0.376,18,63,0.286,115,291,0.395,64,105,0.61,62,203,53,26,51,88,73,348
Nancy Lieberman*,PHO,G,25,279,25,0,279,25,77,0.325,6,26,0.231,19,51,0.373,8,10,0.8,6,32,40,14,2,39,34,64
Nicole Levesque,CHA,G,27,622,27,21,622,36,98,0.367,23,66,0.348,13,32,0.406,14,15,0.933,5,47,75,21,3,71,47,109
Lisa Leslie*,LAS,C,28,902,28,28,902,160,371,0.431,12,46,0.261,148,325,0.455,113,189,0.598,63,266,74,39,59,109,99,445
Greta Koss,UTA,F,13,268,13,10,268,15,29,0.517,2,3,0.667,13,26,0.5,12,16,0.75,12,37,10,9,4,18,15,44
Merlakia Jones,CLE,G,28,589,28,1,589,92,229,0.402,5,12,0.417,87,217,0.401,40,56,0.714,30,80,25,23,3,54,55,229
Vickie Johnson,NYL,G-F,26,789,26,25,789,109,270,0.404,4,21,0.19,105,249,0.422,27,35,0.771,46,110,66,19,4,49,52,249
Adrienne Johnson,CLE,G,25,194,25,0,194,22,58,0.379,2,4,0.5,20,54,0.37,7,9,0.778,8,22,9,5,1,27,13,53
Milica Vukadinovic,CHA,G,1,14,1,0,14,1,1,1,1,1,1,0,0,,0,0,,0,1,1,1,0,3,0,3
Haixia Zheng,LAS,C,28,557,28,21,557,110,178,0.618,0,0,,110,178,0.618,39,59,0.661,32,123,17,11,20,46,77,259
Corissa Yasen,SAC,G,19,188,19,0,188,23,57,0.404,0,1,0,23,56,0.411,6,12,0.5,12,20,6,18,2,16,17,52
Tiffany Woosley,HOU,G,26,397,26,4,397,29,88,0.33,16,50,0.32,13,38,0.342,2,8,0.25,8,28,29,18,1,30,19,76
Lynette Woodard*,CLE,G,28,712,28,27,712,87,217,0.401,0,7,0,87,210,0.414,43,64,0.672,37,115,67,45,10,69,44,217
Sophia Witherspoon,NYL,G,28,867,28,28,867,140,345,0.406,44,126,0.349,96,219,0.438,83,111,0.748,30,84,64,49,7,77,62,407
