Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Svetlana Abrosimova,CON,F,6,107,6,0,107,11,36,0.306,2,12,0.167,9,24,0.375,10,12,0.833,3,20,12,8,0,11,13,34
Matee Ajavon,HOU,G,34,604,34,2,604,94,283,0.332,13,67,0.194,81,216,0.375,72,91,0.791,33,60,59,30,6,54,85,273
Charel Allen,SAC,G,6,49,6,0,49,7,16,0.438,2,6,0.333,5,10,0.5,0,0,,2,6,3,1,0,6,5,16
Jolene Anderson,CON,G,24,367,24,7,367,35,126,0.278,16,69,0.232,19,57,0.333,11,15,0.733,11,58,26,7,1,16,17,97
Nicky Anosike,MIN,F-C,34,920,34,34,920,99,226,0.438,0,1,0,99,225,0.44,116,166,0.699,78,231,45,75,43,42,125,314
La'Tangela Atkinson,SAC,G-F,5,73,5,1,73,6,16,0.375,0,1,0,6,15,0.4,2,4,0.5,3,14,8,5,2,10,5,14
Morenike Atunrase,SAS,G-F,33,348,33,0,348,24,87,0.276,12,41,0.293,12,46,0.261,11,16,0.688,16,48,23,16,13,26,21,71
Seimone Augustus*,MIN,G-F,31,1042,31,31,1042,233,496,0.47,20,63,0.317,213,433,0.492,105,118,0.89,28,120,83,32,12,52,46,591
Sherill Baker,IND,G,13,110,13,0,110,12,37,0.324,0,1,0,12,36,0.333,25,34,0.735,7,22,15,9,1,11,15,49
Mistie Bass,HOU,F,32,365,32,0,365,47,93,0.505,0,1,0,47,92,0.511,28,51,0.549,36,77,18,13,9,27,32,122
Ashley Battle,NYL,F,34,336,34,0,336,37,98,0.378,11,30,0.367,26,68,0.382,36,50,0.72,18,53,24,15,1,28,26,121
Alana Beard,WAS,G-F,33,1092,33,33,1092,187,474,0.395,51,144,0.354,136,330,0.412,107,146,0.733,4,118,117,55,19,106,111,532
Kimberly Beck,SEA,G,17,93,17,0,93,4,9,0.444,4,6,0.667,0,3,0,5,6,0.833,2,12,6,4,2,4,7,17
Val Berezhynska,SAS,C,2,6,2,0,6,0,2,0,0,1,0,0,1,0,0,0,,0,0,0,0,0,0,2,0
Tully Bevilaqua,IND,G,30,876,30,30,876,64,158,0.405,30,89,0.337,34,69,0.493,17,28,0.607,12,68,65,59,4,35,73,175
Sue Bird,SEA,G,33,1111,33,33,1111,172,390,0.441,47,137,0.343,125,253,0.494,74,85,0.871,14,84,169,39,3,88,61,465
Nikki Blue,WAS,G,26,537,26,22,537,33,102,0.324,14,32,0.438,19,70,0.271,19,25,0.76,15,41,73,19,2,42,59,99
Shannon Bobbitt,LAS,G,26,552,26,17,552,35,127,0.276,20,71,0.282,15,56,0.268,16,22,0.727,16,64,90,25,1,63,40,106
LaToya Bond,IND,G,32,325,32,1,325,26,90,0.289,9,42,0.214,17,48,0.354,13,16,0.813,7,31,27,15,4,33,56,74
Kara Braxton,DET,C-F,33,590,33,10,590,107,258,0.415,0,2,0,107,256,0.418,81,109,0.743,48,168,27,14,24,54,84,295
Kiesha Brown,LAS,G,32,530,32,17,530,52,146,0.356,23,67,0.343,29,79,0.367,31,34,0.912,8,59,66,19,0,39,41,158
Rebekkah Brunson,SAC,F,30,779,30,30,779,135,270,0.5,0,0,,135,270,0.5,57,85,0.671,87,213,13,36,20,51,82,327
Latasha Byears,HOU,G-F,11,46,11,0,46,8,17,0.471,0,0,,8,17,0.471,2,3,0.667,5,12,1,3,0,1,16,18
Dominique Canty,CHI,G,28,737,28,28,737,71,180,0.394,1,6,0.167,70,174,0.402,83,124,0.669,24,71,115,28,3,54,74,226
Jamie Carey,CON,G,33,499,33,3,499,47,111,0.423,34,83,0.41,13,28,0.464,9,10,0.9,4,40,47,8,1,22,24,137
Essence Carson,NYL,G,34,646,34,30,646,92,245,0.376,8,29,0.276,84,216,0.389,31,46,0.674,25,76,31,32,8,35,49,223
Swin Cash*,SEA,F,31,927,31,28,927,114,293,0.389,1,8,0.125,113,285,0.396,122,158,0.772,46,167,58,21,32,69,72,351
Iziane Castro Marques,ATL,F-G,29,671,29,20,671,96,272,0.353,29,94,0.309,67,178,0.376,48,59,0.814,10,65,52,27,6,57,39,269
Tamika Catchings*,IND,F,25,694,25,17,694,101,258,0.391,38,88,0.432,63,170,0.371,92,115,0.8,48,157,83,49,11,61,74,332
Quianna Chaney,CHI,G,28,241,28,0,241,23,83,0.277,12,50,0.24,11,33,0.333,10,12,0.833,4,28,24,15,3,23,19,68
Shameka Christon,NYL,G,31,947,31,31,947,153,385,0.397,71,175,0.406,82,210,0.39,111,134,0.828,31,94,51,35,17,61,93,488
Willnett Crockett,PHO,F,5,41,5,1,41,3,8,0.375,0,0,,3,8,0.375,3,5,0.6,4,11,0,4,1,1,14,9
Monique Currie,WAS,F,34,972,34,34,972,135,337,0.401,24,64,0.375,111,273,0.407,109,132,0.826,32,141,86,30,12,87,121,403
