Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Stephanie Talbot,SEA,F,34,548,34,1,548,64,138,0.464,29,73,0.397,35,65,0.538,14,24,0.583,23,107,45,23,11,36,44,171
Diana Taurasi,PHO,G,31,962,31,31,962,150,402,0.373,92,273,0.337,58,129,0.45,127,142,0.894,8,106,120,22,18,84,89,519
Sparkle Taylor,CHI,G,2,25,2,0,25,5,6,0.833,0,1,0,5,5,1,1,1,1,0,2,0,0,0,1,3,11
Alyssa Thomas,CON,F,36,1154,36,36,1154,188,376,0.5,0,2,0,188,374,0.503,108,148,0.73,74,294,218,62,7,103,101,484
Jasmine Thomas,CON,G,5,109,5,5,109,8,30,0.267,5,13,0.385,3,17,0.176,12,13,0.923,2,11,15,3,1,7,7,33
Sam Thomas,PHO,G-F,24,118,24,0,118,4,19,0.211,1,15,0.067,3,4,0.75,1,1,1,2,5,6,6,2,4,12,10
Kayla Thornton,DAL,F,36,1050,36,35,1050,97,207,0.469,25,77,0.325,72,130,0.554,68,82,0.829,65,211,65,39,20,42,97,287
Kristi Toliver,LAS,G,11,218,11,10,218,19,51,0.373,13,36,0.361,6,15,0.4,14,16,0.875,0,8,34,4,0,25,14,65
Brianna Turner,PHO,F,35,1168,35,35,1168,68,112,0.607,0,0,,68,112,0.607,15,30,0.5,69,238,80,44,56,50,80,151
Courtney Vandersloot,CHI,G,32,849,32,32,849,136,283,0.481,29,79,0.367,107,204,0.525,75,98,0.765,23,124,207,38,16,87,53,376
Kia Vaughn,ATL,C,29,401,29,1,401,32,80,0.4,0,1,0,32,79,0.405,9,13,0.692,30,93,25,10,8,34,50,73
Victoria Vivians,IND,G-F,35,940,35,30,940,126,375,0.336,44,157,0.28,82,218,0.376,46,62,0.742,23,125,85,37,9,72,83,342
Jasmine Walker,LAS,F,32,281,32,1,281,19,76,0.25,10,50,0.2,9,26,0.346,3,3,1,12,48,6,6,3,15,30,51
Megan Walker,ATL,F,12,115,12,0,115,14,38,0.368,7,19,0.368,7,19,0.368,4,6,0.667,3,9,5,3,0,12,8,39
Shatori Walker-Kimbrough,WAS,G,35,705,35,3,705,80,199,0.402,26,75,0.347,54,124,0.435,55,61,0.902,10,64,53,37,10,39,43,241
Kristy Wallace,ATL,G,29,602,29,18,602,66,162,0.407,25,68,0.368,41,94,0.436,33,42,0.786,18,68,63,17,6,44,58,190
Erica Wheeler,ATL,G,30,789,30,30,789,98,276,0.355,24,73,0.329,74,203,0.365,31,41,0.756,19,93,118,32,2,76,74,251
Sami Whitcomb,NYL,G,35,746,35,6,746,74,201,0.368,59,168,0.351,15,33,0.455,20,23,0.87,10,82,82,25,5,49,57,227
Courtney Williams,CON,G,34,950,34,34,950,165,387,0.426,22,65,0.338,143,322,0.444,27,36,0.75,30,156,111,33,14,57,54,379
Elizabeth Williams,WAS,C-F,30,447,30,0,447,68,141,0.482,0,0,,68,141,0.482,25,43,0.581,45,115,14,18,19,19,44,161
Gabby Williams,SEA,F,36,920,36,36,920,108,243,0.444,18,70,0.257,90,173,0.52,35,45,0.778,43,179,111,54,13,52,59,269
Riquna Williams,LVA,G,21,377,21,0,377,45,118,0.381,34,93,0.366,11,25,0.44,16,21,0.762,5,42,25,9,3,6,35,140
Jocelyn Willoughby,NYL,F-G,11,121,11,4,121,11,26,0.423,3,11,0.273,8,15,0.533,4,8,0.5,2,18,4,5,2,9,8,29
A'ja Wilson,LVA,C,36,1080,36,36,1080,260,519,0.501,31,83,0.373,229,436,0.525,152,187,0.813,66,339,75,52,70,61,76,703
Han Xu,NYL,C,32,538,32,0,538,109,221,0.493,16,36,0.444,93,185,0.503,39,49,0.796,38,115,30,17,21,23,31,273
Jackie Young,LVA,G,34,1129,34,34,1129,191,401,0.476,50,116,0.431,141,285,0.495,110,128,0.859,43,148,132,48,8,43,81,542
Li Yueru,CHI,C,16,82,16,0,82,8,18,0.444,0,0,,8,18,0.444,12,12,1,5,24,2,2,2,13,9,28
Emma Cannon,TOT,F,24,334,24,2,334,60,114,0.526,9,18,0.5,51,96,0.531,35,48,0.729,22,75,13,14,2,16,48,164
Tina Charles,TOT,C,34,983,34,26,983,198,433,0.457,39,110,0.355,159,323,0.492,67,81,0.827,51,249,67,25,23,73,96,502
Crystal Dangerfield,TOT,G,33,711,33,27,711,66,166,0.398,23,71,0.324,43,95,0.453,25,34,0.735,14,66,85,18,4,31,43,180
Kaela Davis,TOT,F,7,55,7,0,55,13,21,0.619,4,6,0.667,9,15,0.6,4,5,0.8,3,9,1,2,0,6,9,34
Rennia Davis,TOT,G-F,8,43,8,0,43,5,13,0.385,0,2,0,5,11,0.455,0,0,,3,8,1,2,0,4,3,10
AD Durr,TOT,G,25,368,25,2,368,60,152,0.395,23,57,0.404,37,95,0.389,31,39,0.795,7,30,30,10,4,22,32,174
Reshanda Gray,TOT,F,27,237,27,0,237,25,57,0.439,3,14,0.214,22,43,0.512,6,9,0.667,16,53,11,7,5,27,56,59
Bria Hartley,TOT,G,13,123,13,0,123,14,37,0.378,7,17,0.412,7,20,0.35,4,6,0.667,1,12,14,4,0,10,7,39
Moriah Jefferson,TOT,G,31,809,31,30,809,117,259,0.452,36,76,0.474,81,183,0.443,53,65,0.815,11,75,147,36,4,68,67,323
Jazmine Jones,TOT,G,8,47,8,0,47,2,8,0.25,0,3,0,2,5,0.4,2,5,0.4,0,2,1,2,0,3,5,6
Stephanie Jones,TOT,F,5,27,5,0,27,3,8,0.375,1,2,0.5,2,6,0.333,2,2,1,1,2,2,1,0,0,5,9
Odyssey Sims,TOT,G,7,145,7,0,145,17,53,0.321,4,15,0.267,13,38,0.342,10,15,0.667,2,13,20,8,2,12,11,48
Yvonne Turner,TOT,G,9,139,9,2,139,12,37,0.324,3,7,0.429,9,30,0.3,9,11,0.818,3,14,18,3,0,13,12,36
Evina Westbrook,TOT,G,20,205,20,2,205,20,53,0.377,5,20,0.25,15,33,0.455,11,15,0.733,1,20,23,8,7,15,18,56
Kiana Williams,TOT,G,4,30,4,0,30,2,8,0.25,1,4,0.25,1,4,0.25,0,0,,0,2,5,0,0,2,1,5
Emma Cannon,PHO,F,1,6,1,0,6,1,1,1,0,0,,1,1,1,1,2,0.5,0,2,1,0,0,0,0,3
Tina Charles,PHO,C,16,530,16,16,530,104,236,0.441,24,66,0.364,80,170,0.471,44,55,0.8,15,116,34,13,12,39,43,276
Crystal Dangerfield,IND,G,3,49,3,0,49,6,14,0.429,2,6,0.333,4,8,0.5,4,4,1,1,3,10,0,2,3,1,18
Kaela Davis,CHI,F,1,10,1,0,10,0,1,0,0,0,,0,1,0,0,0,,0,1,1,0,0,2,3,0
Rennia Davis,MIN,G-F,1,3,1,0,3,1,1,1,0,0,,1,1,1,0,0,,0,0,0,0,0,1,0,2
AD Durr,NYL,G,10,70,10,0,70,3,17,0.176,1,9,0.111,2,8,0.25,7,8,0.875,0,1,4,5,2,5,4,14
Reshanda Gray,SEA,F,11,85,11,0,85,10,20,0.5,2,3,0.667,8,17,0.471,5,6,0.833,11,24,1,2,0,9,19,27
Bria Hartley,IND,G,10,87,10,0,87,9,26,0.346,3,9,0.333,6,17,0.353,4,6,0.667,1,10,10,1,0,9,5,25
Moriah Jefferson,DAL,G,1,4,1,0,4,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0
Jazmine Jones,CON,G,7,44,7,0,44,2,7,0.286,0,2,0,2,5,0.4,2,5,0.4,0,1,1,2,0,3,5,6
Stephanie Jones,WAS,F,3,19,3,0,19,3,7,0.429,1,2,0.5,2,5,0.4,0,0,,1,2,1,1,0,0,4,7
Odyssey Sims,MIN,G,2,54,2,0,54,7,23,0.304,1,4,0.25,6,19,0.316,4,9,0.444,1,7,7,1,2,5,4,19
Yvonne Turner,MIN,G,4,88,4,2,88,8,26,0.308,3,7,0.429,5,19,0.263,6,7,0.857,2,10,10,2,0,12,10,25
Evina Westbrook,MIN,G,14,173,14,2,173,14,44,0.318,2,14,0.143,12,30,0.4,6,9,0.667,1,20,20,6,6,12,14,36
Kiana Williams,SEA,G,3,27,3,0,27,2,8,0.25,1,4,0.25,1,4,0.25,0,0,,0,2,5,0,0,2,1,5
Emma Cannon,IND,F,23,328,23,2,328,59,113,0.522,9,18,0.5,50,95,0.526,34,46,0.739,22,73,12,14,2,16,48,161
Kaela Davis,SEA,F,1,18,1,0,18,4,7,0.571,2,3,0.667,2,4,0.5,1,1,1,1,2,0,2,0,1,4,11
Rennia Davis,IND,G-F,7,40,7,0,40,4,12,0.333,0,2,0,4,10,0.4,0,0,,3,8,1,2,0,3,3,8
Moriah Jefferson,MIN,G,30,805,30,30,805,117,259,0.452,36,76,0.474,81,183,0.443,53,65,0.815,11,75,147,36,4,68,67,323
Kaela Davis,PHO,F,5,27,5,0,27,9,13,0.692,2,3,0.667,7,10,0.7,3,4,0.75,2,6,0,0,0,3,2,23
Odyssey Sims,CON,G,5,91,5,0,91,10,30,0.333,3,11,0.273,7,19,0.368,6,6,1,1,6,13,7,0,7,7,29
Crystal Dangerfield,NYL,G,30,662,30,27,662,60,152,0.395,21,65,0.323,39,87,0.448,21,30,0.7,13,63,75,18,2,28,42,162
Stephanie Jones,CON,F,2,8,2,0,8,0,1,0,0,0,,0,1,0,2,2,1,0,0,1,0,0,0,1,2
Kiana Williams,CON,G,1,3,1,0,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0
Yvonne Turner,ATL,G,2,16,2,0,16,0,1,0,0,0,,0,1,0,1,2,0.5,1,2,1,1,0,1,0,1
