Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Natalie Achonwa,MIN,F,22,332,22,0,332,47,91,0.516,0,2,0,47,89,0.528,22,27,0.815,25,90,37,9,7,22,36,116
Julie Allemand,CHI,G,25,402,25,4,402,25,60,0.417,9,31,0.29,16,29,0.552,15,18,0.833,9,39,85,14,3,33,23,74
Lindsay Allen,MIN,G,9,134,9,0,134,20,38,0.526,8,14,0.571,12,24,0.5,12,13,0.923,0,14,31,2,0,7,11,60
Rebecca Allen,NYL,F-G,25,523,25,19,523,64,169,0.379,26,83,0.313,38,86,0.442,20,24,0.833,8,84,31,19,24,24,48,174
Yvonne Anderson,CON,G,11,101,11,0,101,12,26,0.462,4,10,0.4,8,16,0.5,7,7,1,3,9,12,3,2,11,14,35
Kristine Anigwe,PHO,F-C,10,65,10,1,65,5,10,0.5,0,0,,5,10,0.5,5,10,0.5,5,13,2,1,2,6,12,15
Ariel Atkins,WAS,G,36,1081,36,36,1081,185,440,0.42,70,192,0.365,115,248,0.464,87,103,0.845,34,117,83,47,9,51,99,527
Amy Atwell,LAS,F,4,32,4,1,32,1,9,0.111,1,6,0.167,0,3,0,0,0,,1,2,2,0,0,2,1,3
Shakira Austin,WAS,C-F,36,776,36,32,776,122,223,0.547,0,1,0,122,222,0.55,68,109,0.624,63,232,33,27,30,54,84,312
Rachel Banham,MIN,G,36,630,36,5,630,101,235,0.43,57,149,0.383,44,86,0.512,24,30,0.8,3,48,81,9,4,48,62,283
Kierstan Bell,LVA,F,21,121,21,1,121,10,33,0.303,3,22,0.136,7,11,0.636,4,4,1,4,19,7,2,3,5,10,27
Katie Benzan,WAS,G,3,27,3,0,27,5,9,0.556,5,7,0.714,0,2,0,3,4,0.75,1,2,1,0,1,2,7,18
Monique Billings,ATL,F,23,401,23,8,401,55,117,0.47,0,1,0,55,116,0.474,39,51,0.765,45,146,26,19,8,31,54,149
Sue Bird,SEA,G,31,818,31,31,818,85,211,0.403,56,144,0.389,29,67,0.433,16,16,1,6,59,186,37,4,60,23,242
DeWanna Bonner,CON,F-G,33,991,33,33,991,156,355,0.439,46,140,0.329,110,215,0.512,86,104,0.827,25,156,91,41,11,52,59,444
Lexie Brown,LAS,G,34,850,34,16,850,93,211,0.441,53,133,0.398,40,78,0.513,4,6,0.667,8,78,70,34,7,28,44,243
Kennedy Burke,WAS,G-F,16,222,16,4,222,33,74,0.446,11,32,0.344,22,42,0.524,10,17,0.588,8,35,7,16,4,8,17,87
Rae Burrell,LAS,G-F,3,44,3,1,44,1,9,0.111,1,6,0.167,0,3,0,2,2,1,1,3,1,2,0,1,4,5
Veronica Burton,DAL,G,36,548,36,6,548,25,76,0.329,12,43,0.279,13,33,0.394,32,32,1,17,53,68,34,11,35,51,94
Maya Caldwell,ATL,G,9,214,9,7,214,38,74,0.514,18,32,0.563,20,42,0.476,4,5,0.8,5,22,20,7,2,14,15,98
Liz Cambage,LAS,C,25,584,25,24,584,117,230,0.509,4,14,0.286,113,216,0.523,87,111,0.784,33,160,52,16,41,57,79,325
Jordin Canada,LAS,G,32,865,32,25,865,104,271,0.384,7,50,0.14,97,221,0.439,79,98,0.806,7,73,176,44,5,75,58,294
Bridget Carleton,MIN,F,36,606,36,2,606,54,135,0.4,29,83,0.349,25,52,0.481,19,26,0.731,12,77,40,16,5,23,56,156
DiJonai Carrington,CON,G-F,36,631,36,2,631,84,203,0.414,19,62,0.306,65,141,0.461,57,76,0.75,38,112,38,29,4,59,70,244
Chennedy Carter,LAS,G,24,393,24,2,393,85,189,0.45,2,10,0.2,83,179,0.464,41,55,0.745,9,45,46,15,9,43,52,213
Kaila Charles,ATL,G-F,1,2,1,0,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0
Alysha Clark,WAS,F,29,766,29,29,766,91,196,0.464,30,99,0.303,61,97,0.629,21,23,0.913,23,131,59,28,8,38,55,233
Natasha Cloud,WAS,G,34,1065,34,34,1065,123,308,0.399,43,135,0.319,80,173,0.462,75,91,0.824,16,122,239,35,10,94,55,364
Nia Clouden,CON,G,28,250,28,0,250,18,53,0.34,12,29,0.414,6,24,0.25,10,17,0.588,2,23,21,6,1,12,26,58
Alaina Coates,IND,C,8,75,8,0,75,7,11,0.636,0,0,,7,11,0.636,14,15,0.933,6,16,2,2,3,5,18,28
Nia Coffey,ATL,F,16,336,16,16,336,35,101,0.347,9,31,0.29,26,70,0.371,23,31,0.742,7,83,12,10,2,35,35,102
Charli Collier,DAL,C,17,78,17,0,78,12,27,0.444,0,2,0,12,25,0.48,10,14,0.714,4,10,2,1,0,10,19,34
Napheesa Collier,MIN,F,4,91,4,4,91,11,26,0.423,2,7,0.286,9,19,0.474,5,7,0.714,2,12,4,2,1,1,9,29
Sydney Colson,LVA,G,18,123,18,0,123,10,32,0.313,3,11,0.273,7,21,0.333,5,5,1,3,8,18,2,0,7,14,28
Kahleah Copper,CHI,G-F,31,891,31,31,891,176,366,0.481,36,101,0.356,140,265,0.528,100,129,0.775,32,176,70,14,1,63,75,488
Lorela Cubaj,NYL,F-C,11,88,11,0,88,4,12,0.333,0,0,,4,12,0.333,0,0,,9,23,4,0,2,5,12,8
Elissa Cunane,MIN,C,3,10,3,0,10,1,2,0.5,0,1,0,1,1,1,0,0,,2,5,0,0,0,1,1,2
Sophie Cunningham,PHO,G,28,827,28,20,827,120,267,0.449,70,175,0.4,50,92,0.543,42,48,0.875,19,123,45,28,10,29,94,352
Damiris Dantas,MIN,F,15,262,15,15,262,28,92,0.304,16,61,0.262,12,31,0.387,5,6,0.833,10,57,28,3,1,16,18,77
Elena Delle Donne,WAS,F-G,25,694,25,25,694,155,323,0.48,35,95,0.368,120,228,0.526,84,92,0.913,30,158,57,12,27,27,36,429
Diamond DeShields,PHO,G,30,760,30,19,760,142,366,0.388,21,89,0.236,121,277,0.437,88,115,0.765,18,115,67,30,15,70,99,393
Jasmine Dickey,DAL,G,20,93,20,0,93,7,33,0.212,1,4,0.25,6,29,0.207,6,9,0.667,6,12,2,4,1,5,9,21
Skylar Diggins-Smith,PHO,G,30,1019,30,30,1019,208,485,0.429,40,135,0.296,168,350,0.48,135,160,0.844,28,121,166,46,30,80,81,591
Stefanie Dolson,NYL,C,36,826,36,36,826,113,229,0.493,26,66,0.394,87,163,0.534,38,42,0.905,43,172,66,13,28,56,112,290
Queen Egbo,IND,F-C,33,720,33,31,720,95,215,0.442,0,0,,95,215,0.442,49,76,0.645,61,209,31,30,40,64,98,239
Emily Engstler,IND,F,35,638,35,6,638,72,182,0.396,16,45,0.356,56,137,0.409,21,38,0.553,72,181,51,27,40,48,110,181
Dana Evans,CHI,G,33,378,33,1,378,49,130,0.377,22,67,0.328,27,63,0.429,22,25,0.88,5,27,41,10,3,27,29,142
Sylvia Fowles,MIN,C,30,831,30,30,831,184,296,0.622,0,0,,184,296,0.622,64,97,0.66,74,294,36,31,36,64,73,432
Rebekah Gardner,CHI,G,35,760,35,2,760,116,214,0.542,15,42,0.357,101,172,0.587,48,60,0.8,44,115,44,49,19,55,81,295
Allisha Gray,DAL,G,33,1086,33,33,1086,146,345,0.423,64,157,0.408,82,188,0.436,83,104,0.798,29,159,84,37,24,42,78,439
Chelsea Gray,LVA,G,35,1039,35,35,1039,183,373,0.491,34,100,0.34,149,273,0.546,81,89,0.91,10,112,212,57,10,80,54,481
Megan Gustafson,PHO,C,33,318,33,0,318,50,91,0.549,12,26,0.462,38,65,0.585,13,17,0.765,17,64,17,6,5,24,62,125
Dearica Hamby,LVA,F,34,901,34,32,901,116,249,0.466,16,73,0.219,100,176,0.568,67,93,0.72,48,240,38,36,5,50,68,315
Isabelle Harrison,DAL,F,35,644,35,18,644,116,249,0.466,2,2,1,114,247,0.462,72,83,0.867,48,150,46,26,5,46,73,306
Tyasha Harris,DAL,G,35,552,35,5,552,69,165,0.418,17,54,0.315,52,111,0.468,19,24,0.792,6,32,99,13,4,39,35,174
Tianna Hawkins,WAS,F,25,320,25,0,320,44,114,0.386,14,53,0.264,30,61,0.492,20,21,0.952,15,59,20,9,2,30,43,122
Tiffany Hayes,ATL,G,11,303,11,11,303,66,121,0.545,18,42,0.429,48,79,0.608,28,41,0.683,3,40,23,8,1,22,33,178
Ruthy Hebard,CHI,F,24,232,24,0,232,25,49,0.51,0,0,,25,49,0.51,6,8,0.75,8,41,12,8,3,13,29,56
Destanni Henderson,IND,G,36,589,36,5,589,71,177,0.401,26,71,0.366,45,106,0.425,23,32,0.719,27,57,89,27,3,60,32,191
Natisha Hiedeman,CON,G,36,901,36,31,901,118,274,0.431,69,168,0.411,49,106,0.462,24,30,0.8,6,63,118,42,4,47,66,329
Naz Hillmon,ATL,F,34,674,34,12,674,59,123,0.48,0,2,0,59,121,0.488,32,39,0.821,52,172,41,22,10,40,51,150
Myisha Hines-Allen,WAS,F,34,656,34,15,656,114,275,0.415,29,79,0.367,85,196,0.434,45,64,0.703,37,179,66,26,10,58,56,302
Joyner Holmes,CON,F,26,205,26,0,205,19,61,0.311,5,22,0.227,14,39,0.359,10,13,0.769,6,35,12,8,2,19,20,53
Natasha Howard,NYL,F,35,1048,35,35,1048,206,427,0.482,30,92,0.326,176,335,0.525,88,123,0.715,69,256,81,45,35,113,110,530
Rhyne Howard,ATL,G,34,1066,34,34,1066,184,509,0.361,85,248,0.343,99,261,0.379,99,125,0.792,27,154,96,54,26,53,87,552
Lexie Hull,IND,G,26,334,26,4,334,28,105,0.267,8,43,0.186,20,62,0.323,36,40,0.9,11,40,18,15,2,18,47,100
Sabrina Ionescu,NYL,G,36,1163,36,36,1163,211,513,0.411,83,249,0.333,128,264,0.485,121,130,0.931,35,254,228,39,10,109,76,626
Briann January,SEA,G,36,608,36,5,608,46,122,0.377,23,74,0.311,23,48,0.479,19,23,0.826,7,36,85,23,8,53,59,134
Marine Johannes,NYL,G,24,612,24,10,612,83,179,0.464,55,126,0.437,28,53,0.528,20,23,0.87,5,40,82,14,3,44,38,241
Brionna Jones,CON,F,36,905,36,7,905,186,327,0.569,0,6,0,186,321,0.579,124,147,0.844,95,185,44,44,13,54,94,496
Jonquel Jones,CON,C,33,871,33,32,871,176,343,0.513,41,111,0.369,135,232,0.582,89,111,0.802,85,283,59,35,38,85,89,482
Tina Krajisnik,CHI,C,2,5,2,0,5,0,1,0,0,0,,0,1,0,0,0,,0,0,2,1,0,0,2,0
Awak Kuier,DAL,F,33,416,33,0,416,34,86,0.395,4,21,0.19,30,65,0.462,19,31,0.613,24,83,29,13,29,19,26,91
Betnijah Laney-Hamilton,NYL,G-F,9,255,9,6,255,38,90,0.422,11,29,0.379,27,61,0.443,14,16,0.875,1,30,25,4,1,24,24,101
Jantel Lavender,SEA,F,27,329,27,4,329,45,110,0.409,5,24,0.208,40,86,0.465,8,12,0.667,26,89,24,3,4,24,30,103
Jewell Loyd,SEA,G,36,1090,36,36,1090,201,508,0.396,84,218,0.385,117,290,0.403,100,112,0.893,20,95,121,39,7,78,64,586
Marina Mabrey,DAL,G,34,951,34,32,951,178,424,0.42,61,174,0.351,117,250,0.468,47,69,0.681,20,124,125,28,13,83,86,464
Rui Machida,WAS,G,36,463,36,2,463,26,84,0.31,7,34,0.206,19,50,0.38,6,9,0.667,6,40,93,16,2,38,25,65
Ezi Magbegor,SEA,F-C,33,817,33,23,817,133,242,0.55,10,29,0.345,123,213,0.577,39,53,0.736,53,184,45,29,58,46,95,315
Anneli Maley,CHI,F,4,44,4,0,44,3,6,0.5,2,3,0.667,1,3,0.333,0,0,,3,7,3,3,1,1,6,8
Kayla McBride,MIN,G,31,923,31,31,923,137,338,0.405,47,132,0.356,90,206,0.437,90,99,0.909,16,87,64,32,2,45,43,411
Angel McCoughtry,MIN,F-G,2,20,2,2,20,3,8,0.375,0,1,0,3,7,0.429,6,6,1,0,6,2,1,2,3,3,12
Teaira McCowan,DAL,C,33,623,33,15,623,139,231,0.602,0,0,,139,231,0.602,84,140,0.6,98,232,25,11,22,56,102,362
Aari McDonald,ATL,G,36,876,36,6,876,131,319,0.411,48,142,0.338,83,177,0.469,88,101,0.871,15,81,93,52,1,77,78,398
Emma Meesseman,CHI,F,36,1030,36,36,1030,194,340,0.571,13,38,0.342,181,302,0.599,47,53,0.887,62,200,137,50,30,51,90,448
Nikolina Milic,MIN,F,31,364,31,4,364,74,135,0.548,6,22,0.273,68,113,0.602,31,42,0.738,46,93,23,10,8,42,57,185
Kelsey Mitchell,IND,G,31,1010,31,31,1010,196,447,0.438,72,176,0.409,124,271,0.458,105,122,0.861,14,60,129,28,7,73,72,569
Tiffany Mitchell,IND,G,34,553,34,8,553,82,182,0.451,12,31,0.387,70,151,0.464,45,52,0.865,20,41,40,28,2,30,46,221
Beatrice Mompremier,ATL,F,21,175,21,0,175,20,44,0.455,0,0,,20,44,0.455,5,13,0.385,20,59,8,2,12,15,28,45
Olivia Nelson-Ododa,LAS,C,30,436,30,6,436,47,84,0.56,0,0,,47,84,0.56,26,37,0.703,34,89,11,9,24,30,77,120
Arike Ogunbowale,DAL,G,30,941,30,30,941,204,510,0.4,83,236,0.352,121,274,0.442,99,124,0.798,18,98,108,45,3,54,65,590
Chiney Ogwumike,LAS,F-C,26,478,26,7,478,69,148,0.466,8,18,0.444,61,130,0.469,36,51,0.706,52,142,28,19,9,37,71,182
Nneka Ogwumike,LAS,F,34,1068,34,34,1068,249,458,0.544,21,57,0.368,228,401,0.569,95,115,0.826,48,225,68,57,15,62,80,614
Michaela Onyenwere,NYL,F,34,466,34,1,466,49,130,0.377,15,50,0.3,34,80,0.425,46,55,0.836,13,70,13,14,8,25,69,159
Candace Parker,CHI,F-C,32,904,32,32,904,159,347,0.458,42,135,0.311,117,212,0.552,62,76,0.816,30,275,145,31,31,78,70,422
Cheyenne Parker-Tyus,ATL,F,36,942,36,35,942,176,352,0.5,12,55,0.218,164,297,0.552,62,78,0.795,59,222,71,37,32,72,98,426
Shey Peddy,PHO,G,34,974,34,24,974,117,280,0.418,48,146,0.329,69,134,0.515,56,63,0.889,45,128,117,54,7,48,62,338
Raina Perez,SEA,G,1,2,1,0,2,0,0,,0,0,,0,0,,0,0,,0,0,1,0,0,0,0,0
Theresa Plaisance,LVA,F,31,401,31,2,401,43,116,0.371,31,89,0.348,12,27,0.444,7,10,0.7,16,80,15,8,13,20,41,124
Kelsey Plum,LVA,G,36,1182,36,36,1182,244,531,0.46,113,269,0.42,131,262,0.5,125,149,0.839,9,96,184,36,2,94,90,726
Khayla Pointer,IND,G,10,58,10,0,58,7,12,0.583,1,4,0.25,6,8,0.75,7,14,0.5,1,8,2,2,0,9,2,22
Aerial Powers,MIN,G,35,943,35,31,943,170,441,0.385,33,107,0.308,137,334,0.41,132,162,0.815,46,164,100,42,11,90,63,505
Epiphanny Prince,SEA,G,33,406,33,0,406,44,124,0.355,21,59,0.356,23,65,0.354,21,25,0.84,6,32,58,21,3,15,30,130
Allie Quigley,CHI,G,34,895,34,34,895,130,304,0.428,50,141,0.355,80,163,0.491,76,80,0.95,18,86,97,24,7,45,50,386
DiDi Richards,NYL,G-F,14,155,14,0,155,11,36,0.306,3,11,0.273,8,25,0.32,7,10,0.7,5,24,20,1,5,13,25,32
Danielle Robinson,IND,G,31,732,31,30,732,85,203,0.419,9,40,0.225,76,163,0.466,51,60,0.85,12,89,119,22,5,51,44,230
Iliana Rupert,LVA,C,17,223,17,0,223,25,54,0.463,14,38,0.368,11,16,0.688,1,3,0.333,11,39,15,7,0,9,35,65
Mercedes Russell,SEA,C,5,54,5,0,54,4,8,0.5,0,0,,4,8,0.5,2,3,0.667,2,9,1,0,0,7,7,10
Satou Sabally,DAL,F,11,239,11,6,239,41,103,0.398,10,43,0.233,31,60,0.517,32,35,0.914,9,53,23,5,2,25,35,124
Karlie Samuelson,PHO,G,1,10,1,0,10,1,3,0.333,1,3,0.333,0,0,,0,0,,0,3,1,0,0,1,1,3
Katie Lou Samuelson,LAS,F,32,943,32,29,943,107,287,0.373,56,159,0.352,51,128,0.398,41,49,0.837,17,95,62,33,7,34,52,311
Jessica Shepard,MIN,F,36,941,36,22,941,108,215,0.502,6,23,0.261,102,192,0.531,69,94,0.734,72,266,107,14,12,62,75,291
Aisha Sheppard,LVA,G,23,174,23,0,174,10,42,0.238,9,33,0.273,1,9,0.111,6,8,0.75,6,14,7,5,1,7,26,35
Jennie Simms,PHO,G,23,303,23,4,303,30,63,0.476,4,19,0.211,26,44,0.591,15,19,0.789,13,51,20,12,1,24,38,79
Hannah Sjerven,MIN,C,3,9,3,0,9,0,1,0,0,0,,0,1,0,0,0,,0,0,0,0,1,0,2,0
Destiny Slocum,ATL,G,3,41,3,0,41,4,11,0.364,3,9,0.333,1,2,0.5,3,5,0.6,0,4,4,0,0,5,4,14
Kamiah Smalls,MIN,G,3,34,3,0,34,2,8,0.25,0,4,0,2,4,0.5,0,0,,0,5,6,4,0,4,6,4
Alanna Smith,IND,F,9,116,9,1,116,14,42,0.333,6,25,0.24,8,17,0.471,5,7,0.714,8,24,5,8,6,8,17,39
Kianna Smith,LAS,G,11,113,11,0,113,11,35,0.314,5,18,0.278,6,17,0.353,2,2,1,5,9,6,4,0,4,11,29
NaLyssa Smith,IND,F,32,983,32,32,983,160,382,0.419,37,97,0.381,123,285,0.432,76,123,0.618,70,253,45,15,8,76,93,433
Azura Stevens,CHI,F-C,35,768,35,8,768,150,318,0.472,42,116,0.362,108,202,0.535,29,39,0.744,21,137,28,17,39,26,61,371
Breanna Stewart,SEA,F,34,1052,34,34,1052,255,540,0.472,67,177,0.379,188,363,0.518,164,196,0.837,46,257,97,54,31,43,72,741
Kiah Stokes,LVA,C,31,475,31,4,475,26,61,0.426,5,24,0.208,21,37,0.568,13,16,0.813,28,135,20,14,25,18,39,70
Brittney Sykes,LAS,G,32,921,32,24,921,152,351,0.433,14,52,0.269,138,299,0.462,87,113,0.77,23,117,118,65,22,84,84,405
