Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Natalie Achonwa,IND,F,34,883,34,34,883,137,260,0.527,0,0,,137,260,0.527,76,95,0.8,86,234,46,29,23,38,106,350
Kayla Alexander,IND,C,30,257,30,0,257,33,61,0.541,0,0,,33,61,0.541,14,17,0.824,21,65,5,4,10,19,37,80
Lindsay Allen,LVA,G,24,358,24,6,358,28,73,0.384,1,16,0.063,27,57,0.474,17,24,0.708,3,30,69,15,0,21,17,74
Rebecca Allen,NYL,F-G,28,291,28,0,291,38,101,0.376,10,38,0.263,28,63,0.444,21,25,0.84,13,48,8,9,11,16,36,107
Ariel Atkins,WAS,G,29,652,29,24,652,120,278,0.432,45,126,0.357,75,152,0.493,42,51,0.824,28,69,60,39,10,39,73,327
Seimone Augustus*,MIN,G-F,33,864,33,33,864,156,334,0.467,21,66,0.318,135,268,0.504,24,34,0.706,5,60,85,14,8,40,32,357
Rachel Banham,CON,G,33,424,33,5,424,55,133,0.414,30,81,0.37,25,52,0.481,33,38,0.868,6,29,48,15,3,18,55,173
Alana Beard,LAS,G-F,30,766,30,30,766,51,130,0.392,2,5,0.4,49,125,0.392,17,21,0.81,36,98,50,44,6,20,73,121
Hind Ben Abdelkader,IND,G,14,142,14,0,142,8,43,0.186,6,29,0.207,2,14,0.143,7,8,0.875,1,14,11,4,1,13,10,29
Monique Billings,ATL,F,32,353,32,0,353,41,93,0.441,0,0,,41,93,0.441,24,32,0.75,37,88,12,14,1,14,37,106
Sue Bird,SEA,G,31,824,31,31,824,115,247,0.466,60,134,0.448,55,113,0.487,24,29,0.828,5,54,221,35,2,59,38,314
Kelsey Bone,LVA,C,32,344,32,10,344,40,80,0.5,0,0,,40,80,0.5,9,18,0.5,19,70,38,3,2,30,61,89
DeWanna Bonner,PHO,F-G,34,1120,34,34,1120,208,460,0.452,55,176,0.313,153,284,0.539,117,135,0.867,47,246,108,43,14,55,62,588
Brittany Boyd,NYL,G,30,613,30,14,613,70,169,0.414,10,27,0.37,60,142,0.423,41,53,0.774,10,117,159,37,3,81,72,191
Imani McGee-Stafford,ATL,C,29,305,29,2,305,39,86,0.453,0,0,,39,86,0.453,7,15,0.467,39,99,18,13,11,23,44,85
