Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Svetlana Abrosimova,MIN,F,26,846,26,23,846,115,294,0.391,20,77,0.26,95,217,0.438,96,132,0.727,43,174,53,42,9,85,70,346
Markita Aldridge,WAS,G,5,35,5,0,35,3,9,0.333,0,3,0,3,6,0.5,1,1,1,2,2,2,0,0,4,5,7
Tawona Alhaleem,ORL,F-G,26,252,26,1,252,19,58,0.328,4,11,0.364,15,47,0.319,7,14,0.5,15,38,14,11,0,28,20,49
Mactabene Amachree,NYL,F,2,3,2,0,3,0,0,,0,0,,0,0,,1,2,0.5,1,1,0,0,1,1,2,1
Keisha Anderson,CHA,G,18,102,18,0,102,2,16,0.125,0,2,0,2,14,0.143,8,10,0.8,3,15,14,6,0,17,8,12
Mery Andrade,CLE,F,32,893,32,32,893,58,171,0.339,6,30,0.2,52,141,0.369,30,45,0.667,21,87,100,51,10,61,77,152
Janeth Arcain,HOU,G,32,1154,32,32,1154,217,509,0.426,22,66,0.333,195,443,0.44,135,150,0.9,49,136,94,60,3,83,82,591
Marlies Askamp,MIA,C,30,431,30,11,431,28,58,0.483,0,0,,28,58,0.483,18,32,0.563,35,87,15,12,11,19,62,74
Jennifer Azzi,UTA,G,32,1205,32,32,1205,75,184,0.408,38,74,0.514,37,110,0.336,88,96,0.917,10,98,171,22,10,69,89,276
Tricia Bader Binford,CLE,G,19,114,19,0,114,8,20,0.4,5,13,0.385,3,7,0.429,0,0,,2,12,11,5,0,8,7,21
Elena Baranova,MIA,F,32,984,32,30,984,141,330,0.427,30,80,0.375,111,250,0.444,66,71,0.93,41,191,63,33,57,62,81,378
LaQuanda Barksdale,POR,G,5,35,5,0,35,1,10,0.1,0,3,0,1,7,0.143,0,0,,1,6,4,2,0,1,3,2
Adia Barnes,CLE,F,3,3,3,0,3,1,1,1,0,0,,1,1,1,0,0,,0,1,0,0,0,0,0,2
Quacy Barnes,SEA,C,20,229,20,3,229,23,59,0.39,1,1,1,22,58,0.379,21,27,0.778,14,34,11,9,6,16,29,68
Cass Bauer-Bilodeau,WAS,C,15,102,15,0,102,5,17,0.294,0,1,0,5,16,0.313,5,10,0.5,8,18,3,2,1,6,12,15
Tully Bevilaqua,POR,G,31,788,31,31,788,39,119,0.328,23,73,0.315,16,46,0.348,52,71,0.732,27,88,103,59,6,52,102,153
Debbie Black,MIA,G,32,946,32,32,946,70,187,0.374,3,20,0.15,67,167,0.401,37,48,0.771,43,126,123,82,2,51,69,180
Cindy Blodgett,SAC,G,11,72,11,0,72,13,29,0.448,8,15,0.533,5,14,0.357,0,0,,1,9,6,6,1,11,6,34
Ruthie Bolton,SAC,G,31,582,31,0,582,73,216,0.338,40,110,0.364,33,106,0.311,36,52,0.692,34,93,55,28,1,39,55,222
Carla Boyd,DET,F,21,230,21,0,230,23,67,0.343,11,36,0.306,12,31,0.387,18,20,0.9,10,26,14,11,2,16,32,75
Angie Braziel,IND,F,23,341,23,0,341,50,115,0.435,0,1,0,50,114,0.439,27,35,0.771,21,77,7,9,13,20,27,127
Reshea Bristol,CHA,G,1,5,1,0,5,0,1,0,0,0,,0,1,0,0,0,,2,2,0,0,0,1,0,0
Sandy Brondello,MIA,G,29,850,29,29,850,142,344,0.413,26,66,0.394,116,278,0.417,57,70,0.814,10,50,63,28,4,37,61,367
Edwina Brown,DET,G-F,32,800,32,14,800,85,232,0.366,20,53,0.377,65,179,0.363,47,60,0.783,31,101,87,33,7,68,83,237
