Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Matee Ajavon,WAS,G,34,587,34,4,587,85,253,0.336,28,82,0.341,57,171,0.333,74,110,0.673,27,64,37,37,4,50,84,272
Nicky Anosike,MIN,F-C,30,896,30,29,896,130,265,0.491,1,4,0.25,129,261,0.494,135,194,0.696,73,222,81,81,28,61,88,396
La'Tangela Atkinson,SEA,G-F,2,46,2,1,46,2,8,0.25,0,1,0,2,7,0.286,1,2,0.5,6,18,5,10,1,4,5,5
Seimone Augustus*,MIN,G-F,6,178,6,6,178,49,86,0.57,9,14,0.643,40,72,0.556,19,21,0.905,4,25,9,12,3,13,5,126
Sherill Baker,DET,G,1,11,1,0,11,2,3,0.667,0,0,,2,3,0.667,3,3,1,1,1,1,1,0,1,1,7
Mistie Bass,CHI,F,8,126,8,5,126,20,39,0.513,0,2,0,20,37,0.541,9,16,0.563,12,27,3,5,3,4,12,49
Suzy Batkovic-Brown,SEA,C,20,147,20,0,147,21,43,0.488,3,11,0.273,18,32,0.563,2,8,0.25,9,29,4,5,6,24,29,47
Ashley Battle,NYL,F,34,548,34,3,548,63,148,0.426,19,46,0.413,44,102,0.431,32,46,0.696,17,85,40,31,2,52,48,177
Alana Beard,WAS,G-F,31,985,31,30,985,188,438,0.429,32,107,0.299,156,331,0.471,84,114,0.737,19,123,68,72,18,100,97,492
Tully Bevilaqua,IND,G,34,861,34,32,861,68,181,0.376,37,107,0.346,31,74,0.419,36,54,0.667,12,79,97,62,8,48,76,209
Sue Bird,SEA,G,31,1101,31,31,1101,154,377,0.408,54,150,0.36,100,227,0.441,35,41,0.854,12,78,179,47,3,81,50,397
Chante Black,CON,C,33,428,33,8,428,35,92,0.38,0,1,0,35,91,0.385,27,43,0.628,41,107,6,13,27,25,54,97
Nikki Blue,WAS,G,16,91,16,0,91,7,24,0.292,3,9,0.333,4,15,0.267,7,10,0.7,2,10,12,7,0,13,12,24
Shannon Bobbitt,LAS,G,33,353,33,3,353,26,85,0.306,8,37,0.216,18,48,0.375,11,13,0.846,11,33,46,15,1,28,34,71
Whitney Boddie,SAC,G,4,9,4,0,9,1,1,1,0,0,,1,1,1,0,0,,0,0,0,1,0,1,1,2
DeWanna Bonner,PHO,F-G,34,724,34,0,724,127,278,0.457,2,13,0.154,125,265,0.472,125,154,0.812,70,196,13,23,25,34,70,381
Kara Braxton,DET,C-F,28,504,28,2,504,106,201,0.527,0,0,,106,201,0.527,40,62,0.645,66,167,41,19,18,51,79,252
Kiesha Brown,CON,G,34,393,34,0,393,47,123,0.382,18,54,0.333,29,69,0.42,18,22,0.818,9,55,38,13,3,29,35,130
Rebekkah Brunson,SAC,F,27,665,27,17,665,124,255,0.486,0,1,0,124,254,0.488,83,106,0.783,67,190,9,40,16,45,57,331
Janell Burse,SEA,C,34,541,34,8,541,74,145,0.51,0,0,,74,145,0.51,59,80,0.738,31,107,10,21,31,35,71,207
Dominique Canty,CHI,G,34,776,34,34,776,74,194,0.381,4,11,0.364,70,183,0.383,82,119,0.689,18,63,109,28,5,57,96,234
Essence Carson,NYL,G,34,859,34,34,859,131,321,0.408,34,102,0.333,97,219,0.443,44,48,0.917,24,72,46,37,10,54,76,340
Swin Cash*,SEA,F,32,1094,32,29,1094,139,355,0.392,10,31,0.323,129,324,0.398,102,128,0.797,62,214,82,28,16,91,98,390
Iziane Castro Marques,ATL,F-G,34,915,34,33,915,184,445,0.413,49,142,0.345,135,303,0.446,71,91,0.78,20,75,67,36,2,83,75,488
Tamika Catchings*,IND,F,34,1084,34,34,1084,157,407,0.386,40,122,0.328,117,285,0.411,158,181,0.873,86,245,107,99,18,88,92,512
Shameka Christon,NYL,G,32,1014,32,31,1014,154,383,0.402,78,204,0.382,76,179,0.425,128,148,0.865,29,156,56,28,27,56,102,514
Kristi Cirone,CON,G,4,23,4,0,23,2,5,0.4,1,3,0.333,1,2,0.5,2,3,0.667,0,5,4,2,0,0,3,7
Marissa Coleman,WAS,G-F,28,525,28,0,525,54,159,0.34,29,80,0.363,25,79,0.316,34,45,0.756,22,76,22,20,9,34,44,171
Monique Currie,WAS,F,34,728,34,34,728,78,217,0.359,20,52,0.385,58,165,0.352,102,127,0.803,38,146,61,29,14,57,83,278
Helen Darling,SAS,G,34,642,34,13,642,27,109,0.248,13,44,0.295,14,65,0.215,37,55,0.673,14,61,100,30,5,40,79,104
Jessica Davenport,IND,C,26,181,26,0,181,29,55,0.527,0,0,,29,55,0.527,14,20,0.7,15,40,6,7,14,21,38,72
Tanae Davis-Cain,DET,G,1,4,1,0,4,1,5,0.2,0,3,0,1,2,0.5,0,1,0,2,2,0,0,0,0,0,2
