Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Natalie Achonwa,MIN,F,21,253,21,1,253,26,61,0.426,0,1,0,26,60,0.433,25,28,0.893,12,45,25,12,5,13,33,77
Bella Alarie,DAL,C-F,31,407,31,11,407,32,64,0.5,0,2,0,32,62,0.516,17,20,0.85,42,102,16,18,20,18,42,81
Lindsay Allen,IND,G,32,571,32,8,571,65,152,0.428,14,47,0.298,51,105,0.486,30,37,0.811,9,48,96,17,3,31,34,174
Rebecca Allen,NYL,F-G,25,615,25,13,615,74,216,0.343,48,126,0.381,26,90,0.289,33,37,0.892,19,92,28,40,31,21,54,229
Jillian Alleyne,WAS,C-F,2,8,2,0,8,0,2,0,0,0,,0,2,0,0,0,,1,4,0,1,0,0,0,0
Ariel Atkins,WAS,G,30,918,30,30,918,161,396,0.407,66,184,0.359,95,212,0.448,98,118,0.831,34,83,79,48,16,61,96,486
Rachel Banham,MIN,G,27,341,27,0,341,51,129,0.395,28,75,0.373,23,54,0.426,5,8,0.625,3,33,44,8,4,25,47,135
Monique Billings,ATL,F,31,740,31,9,740,100,202,0.495,0,2,0,100,200,0.5,52,77,0.675,88,200,32,37,32,43,79,252
Sue Bird,SEA,G,30,832,30,30,832,106,246,0.431,67,160,0.419,39,86,0.453,20,24,0.833,8,77,160,28,3,47,31,299
DeWanna Bonner,CON,F-G,32,1022,32,32,1022,159,403,0.395,44,139,0.317,115,264,0.436,124,139,0.892,21,205,111,40,23,69,52,486
Brittany Boyd,CHI,G,2,22,2,0,22,1,4,0.25,1,2,0.5,0,2,0,1,2,0.5,0,2,4,2,0,4,2,4
Crystal Bradford,ATL,F,24,440,24,9,440,82,191,0.429,29,81,0.358,53,110,0.482,18,39,0.462,31,91,36,28,9,23,56,211
Jessica Breland,IND,F,26,544,26,18,544,67,180,0.372,5,16,0.313,62,164,0.378,13,19,0.684,37,163,53,16,39,48,51,152
Kalani Brown,ATL,C,1,5,1,0,5,1,3,0.333,0,0,,1,3,0.333,0,0,,0,1,0,0,0,0,0,2
Lexie Brown,CHI,G,17,162,17,0,162,10,38,0.263,8,33,0.242,2,5,0.4,0,0,,0,12,19,7,0,8,11,28
Kennedy Burke,SEA,G-F,23,176,23,0,176,25,56,0.446,6,18,0.333,19,38,0.5,10,16,0.625,7,19,7,6,3,11,13,66
Liz Cambage,LVA,C,25,595,25,24,595,140,258,0.543,5,14,0.357,135,244,0.553,71,100,0.71,39,206,33,22,41,44,74,356
Jordin Canada,SEA,G,29,542,29,3,542,56,144,0.389,3,14,0.214,53,130,0.408,53,63,0.841,16,66,88,21,4,31,29,168
Bridget Carleton,MIN,F,32,618,32,10,618,55,137,0.401,27,74,0.365,28,63,0.444,16,20,0.8,23,74,47,25,6,27,47,153
DiJonai Carrington,CON,G-F,24,220,24,1,220,27,82,0.329,3,21,0.143,24,61,0.393,11,15,0.733,15,47,12,13,3,22,37,68
Chennedy Carter,ATL,G,11,280,11,11,280,60,132,0.455,1,9,0.111,59,123,0.48,35,40,0.875,5,14,36,8,4,23,33,156
Kaila Charles,CON,G-F,30,488,30,4,488,49,133,0.368,10,33,0.303,39,100,0.39,21,24,0.875,33,84,33,14,11,26,59,129
Tina Charles,WAS,C,27,900,27,27,900,238,530,0.449,50,137,0.365,188,393,0.478,105,128,0.82,73,258,57,25,23,59,63,631
Natasha Cloud,WAS,G,27,852,27,27,852,81,208,0.389,26,95,0.274,55,113,0.487,46,55,0.836,11,98,174,37,4,59,62,234
Nia Coffey,LAS,F,32,805,32,17,805,93,221,0.421,50,120,0.417,43,101,0.426,28,36,0.778,18,122,28,26,38,45,85,264
Charli Collier,DAL,C,28,345,28,18,345,40,86,0.465,0,0,,40,86,0.465,16,23,0.696,31,102,6,4,5,13,51,96
Napheesa Collier,MIN,F,29,1003,29,29,1003,175,397,0.441,21,83,0.253,154,314,0.49,98,114,0.86,50,192,92,38,37,68,82,469
Te'a Cooper,LAS,G,31,682,31,13,682,97,256,0.379,24,74,0.324,73,182,0.401,63,84,0.75,4,54,44,28,6,57,69,281
Kahleah Copper,CHI,G-F,32,986,32,32,986,173,377,0.459,26,85,0.306,147,292,0.503,90,110,0.818,37,133,56,27,8,60,96,462
Sophie Cunningham,PHO,G,30,524,30,4,524,59,135,0.437,32,78,0.41,27,57,0.474,19,27,0.704,9,60,32,14,7,16,56,169
Crystal Dangerfield,MIN,G,31,623,31,10,623,87,224,0.388,28,78,0.359,59,146,0.404,36,42,0.857,8,61,88,21,2,43,58,238
