Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Farhiya Abdi,LAS,F,17,122,17,0,122,15,39,0.385,0,0,,15,39,0.385,8,12,0.667,4,12,9,2,1,4,15,38
Danielle Adams,SAS,F-C,34,899,34,24,899,170,399,0.426,42,129,0.326,128,270,0.474,106,150,0.707,53,161,42,29,25,61,95,488
Matee Ajavon,WAS,G,34,772,34,27,772,95,261,0.364,19,62,0.306,76,199,0.382,94,119,0.79,24,59,99,32,3,75,74,303
Kayla Alexander,SAS,C,33,371,33,1,371,35,84,0.417,0,0,,35,84,0.417,22,30,0.733,43,99,10,4,14,35,46,92
Jayne Appel-Marinelli,SAS,C,29,768,29,29,768,70,121,0.579,1,3,0.333,69,118,0.585,29,49,0.592,75,259,57,26,37,44,85,170
Seimone Augustus*,MIN,G-F,31,922,31,31,922,213,413,0.516,20,69,0.29,193,344,0.561,58,66,0.879,24,98,76,18,18,45,33,504
Mistie Bass,CON,F,33,593,33,5,593,94,171,0.55,0,0,,94,171,0.55,42,69,0.609,48,144,32,22,29,48,60,230
Alana Beard,LAS,G-F,32,703,32,32,703,85,185,0.459,1,8,0.125,84,177,0.475,28,34,0.824,13,72,45,40,10,42,72,199
Alex Bentley,ATL,G,34,753,34,10,753,113,284,0.398,28,85,0.329,85,199,0.427,27,38,0.711,11,48,95,34,3,39,77,281
Chante Black,SAS,C,1,10,1,0,10,1,2,0.5,0,0,,1,2,0.5,0,0,,1,2,0,0,1,2,1,2
Kelsey Bone,NYL,C,34,663,34,2,663,99,215,0.46,0,1,0,99,214,0.463,36,57,0.632,73,185,25,12,12,52,87,234
DeWanna Bonner,PHO,F-G,34,1119,34,33,1119,160,390,0.41,54,166,0.325,106,224,0.473,118,131,0.901,35,198,82,39,11,56,45,492
Cierra Bravard,SEA,F,6,27,6,0,27,1,3,0.333,1,2,0.5,0,1,0,0,0,,3,5,0,1,1,3,12,3
Kara Braxton,NYL,C-F,34,740,34,33,740,130,270,0.481,0,0,,130,270,0.481,37,56,0.661,86,226,40,22,14,77,100,297
Jessica Breland,IND,F,30,439,30,2,439,69,157,0.439,0,0,,69,157,0.439,20,27,0.741,50,121,17,17,31,34,38,158
Rebekkah Brunson,MIN,F,33,965,33,33,965,147,296,0.497,1,1,1,146,295,0.495,56,88,0.636,89,294,50,42,29,39,70,351
Liz Cambage,TUL,C,20,499,20,16,499,106,189,0.561,0,0,,106,189,0.561,114,147,0.776,50,166,22,10,48,62,58,326
Michelle Campbell,CHI,F,31,238,31,0,238,16,51,0.314,0,0,,16,51,0.314,22,30,0.733,21,48,5,5,6,16,41,54
Essence Carson,NYL,G,4,118,4,4,118,22,40,0.55,1,3,0.333,21,37,0.568,12,14,0.857,4,22,7,2,2,10,6,57
Sydney Carter,CON,G,15,259,15,1,259,21,60,0.35,4,19,0.211,17,41,0.415,16,20,0.8,5,22,27,7,4,25,17,62
Swin Cash*,CHI,F,34,961,34,34,961,118,284,0.415,17,63,0.27,101,221,0.457,64,75,0.853,43,191,74,31,20,64,101,317
Iziane Castro Marques,CON,F-G,28,441,28,9,441,58,165,0.352,15,46,0.326,43,119,0.361,37,51,0.725,13,47,29,13,4,37,35,168
Tamika Catchings*,IND,F,30,942,30,30,942,179,452,0.396,36,112,0.321,143,340,0.421,136,158,0.861,45,213,71,85,31,51,74,530
Tina Charles,CON,C,29,951,29,29,951,218,545,0.4,0,3,0,218,542,0.402,85,113,0.752,98,293,42,27,28,64,57,521
Karima Christmas-Kelly,IND,F-G,34,913,34,28,913,101,271,0.373,30,100,0.3,71,171,0.415,60,74,0.811,64,141,37,63,11,42,81,292
Shameka Christon,SAS,G,33,740,33,14,740,82,267,0.307,50,156,0.321,32,111,0.288,33,38,0.868,10,55,24,16,11,24,55,247
Layshia Clarendon,IND,G,30,582,30,4,582,55,166,0.331,7,27,0.259,48,139,0.345,9,22,0.409,18,54,55,16,1,40,66,126
Alysha Clark,SEA,F,33,505,33,0,505,48,106,0.453,16,41,0.39,32,65,0.492,19,25,0.76,32,82,12,14,5,35,50,131
Courtney Clements,ATL,G,26,244,26,0,244,20,99,0.202,9,39,0.231,11,60,0.183,9,12,0.75,11,24,8,4,2,7,25,58
Marissa Coleman,LAS,G-F,34,595,34,3,595,58,135,0.43,20,50,0.4,38,85,0.447,21,33,0.636,32,100,34,24,5,31,43,157
Monique Currie,WAS,F,34,881,34,34,881,121,302,0.401,22,64,0.344,99,238,0.416,92,113,0.814,33,169,51,39,8,62,100,356
Elena Delle Donne,CHI,F-G,30,941,30,30,941,172,404,0.426,42,96,0.438,130,308,0.422,157,169,0.929,42,167,53,20,54,39,47,543
Erika de Souza,ATL,F-C,34,1016,34,34,1016,187,338,0.553,0,0,,187,338,0.553,63,93,0.677,90,337,43,45,61,55,90,437
Skylar Diggins-Smith,TUL,G,32,845,32,21,845,89,271,0.328,19,78,0.244,70,193,0.363,75,90,0.833,15,61,123,41,8,92,65,272
Katie Douglas,IND,G-F,4,143,4,4,143,21,54,0.389,7,27,0.259,14,27,0.519,11,11,1,5,11,6,7,2,11,3,60
Candice Dupree,PHO,F,32,1057,32,32,1057,204,396,0.515,0,3,0,204,393,0.519,78,87,0.897,48,204,61,34,13,65,58,486
Kelly Faris,CON,G,24,338,24,3,338,18,49,0.367,7,25,0.28,11,24,0.458,7,9,0.778,12,53,16,7,5,15,32,50
Sylvia Fowles,CHI,C,32,1001,32,32,1001,198,338,0.586,0,0,,198,338,0.586,124,181,0.685,117,369,12,29,78,66,66,520
Briana Gilbreath-Butler,PHO,G,34,763,34,30,763,60,152,0.395,13,51,0.255,47,101,0.465,15,24,0.625,26,109,50,23,15,25,61,148
Sasha Goodlett,IND,C,25,187,25,1,187,19,53,0.358,0,0,,19,53,0.358,6,7,0.857,16,40,4,2,2,10,17,44
Angel Goodrich,TUL,G,31,680,31,16,680,58,137,0.423,8,32,0.25,50,105,0.476,12,22,0.545,14,57,91,38,2,52,35,136
Kalana Greene,CON,G,34,888,34,31,888,70,172,0.407,4,26,0.154,66,146,0.452,30,41,0.732,38,126,50,38,13,36,56,174
Kelsey Griffin,CON,F,34,864,34,34,864,109,246,0.443,12,39,0.308,97,207,0.469,66,90,0.733,61,170,32,42,23,34,93,296
Brittney Griner,PHO,C,27,699,27,27,699,139,250,0.556,0,0,,139,250,0.556,63,87,0.724,37,171,28,13,81,47,80,341
Becky Hammon*,SAS,G,1,12,1,1,12,1,3,0.333,0,1,0,1,2,0.5,0,0,,0,1,1,0,0,3,0,2
